day,i_hour,t_hour,reserve_up_MW,reserve_down_MW
1,1,1,168.26338965,153.48216324999987
1,1,2,338.30039027500015,278.6555712999999
1,1,3,516.6007229750004,406.10838342500006
1,1,4,644.049326175,513.884290975
1,1,5,753.4792145500002,637.0135678749999
1,1,6,856.4116397250007,701.9110727499999
1,1,7,898.5659734750005,835.3119404499998
1,1,8,960.5509256000008,952.5444760749997
1,1,9,1076.5445699250001,1123.6698647500002
1,1,10,1125.3502048750001,1216.855180525
1,1,11,1288.84767375,1334.00872545
1,1,12,1456.788107,1444.4208323249998
1,1,13,1644.1197080749998,1485.7893650999995
1,1,14,1789.6516487499996,1682.1447143249998
1,1,15,1981.0599335,1846.5911806
1,1,16,2082.918213425,2017.0945085999997
1,1,17,2146.3108167499995,2172.7201609
1,1,18,2093.9320355249993,2220.37768195
1,1,19,1997.962762875,2226.0416062500003
1,1,20,2015.7835580250003,2334.483354125001
1,1,21,2097.651937225,2434.7473803500006
1,1,22,2093.604098175001,2534.393003325
1,1,23,2075.7372378250025,2682.6500109999997
1,1,24,2127.4325288750024,2804.0615421499997
1,2,2,178.96947500000033,151.7791950749999
1,2,3,359.79588002500043,249.38235697499994
1,2,4,510.73691727500017,375.7775280249999
1,2,5,621.91978845,495.23667009999974
1,2,6,743.3398564000003,628.519245875
1,2,7,766.3538845500004,830.044612275
1,2,8,819.4827847250006,951.3192987999994
1,2,9,926.3250844000002,1093.6777783249997
1,2,10,1029.1468155250004,1265.1865076749996
1,2,11,1175.3594023749997,1395.8208409249999
1,2,12,1418.2736082250003,1506.2329477999997
1,2,13,1570.6438752000008,1540.7759557249997
1,2,14,1685.226129275,1653.8514265499998
1,2,15,1851.0688323749998,1851.247811525
1,2,16,1952.9271122999999,2008.5196068750001
1,2,17,2016.3197156249998,2159.8622918500005
1,2,18,1964.27833165,2204.5332086500007
1,2,19,1868.3090590000002,2275.6565102250006
1,2,20,1866.0500566,2373.5279263500006
1,2,21,1945.7410499750004,2443.191229925
1,2,22,1955.147096750001,2546.316963675
1,2,23,1960.163682025002,2727.446795225
1,2,24,2064.819769725001,2846.6332900750003
1,3,3,179.00615705000007,125.08188299999993
1,3,4,311.0438668000001,233.03803582499992
1,3,5,441.1553828000004,388.2168822749999
1,3,6,551.4075086000003,597.3447331250001
1,3,7,590.5693558000003,778.5329277999998
1,3,8,651.7587285500003,899.8076143249993
1,3,9,814.983799025,1017.8353624749991
1,3,10,944.7649798750002,1268.2041073249995
1,3,11,1108.7518268499998,1399.62465065
1,3,12,1352.6596099000003,1510.0367575249998
1,3,13,1505.0298768750008,1544.5797654499997
1,3,14,1629.968648575,1660.56397435
1,3,15,1780.348576425,1850.248377075
1,3,16,1882.20685635,1955.9710536500002
1,3,17,1945.5994596749997,2086.2249865250005
1,3,18,1893.3536315999995,2164.7021393000005
1,3,19,1797.3843589500002,2274.6570757750005
1,3,20,1759.2886005499995,2372.5284919000005
1,3,21,1764.4870256000002,2442.1917954750006
1,3,22,1774.419025550001,2545.317529225
1,3,23,1844.0636477500007,2713.8896613250004
1,3,24,1950.96045855,2833.4001568250005
1,4,4,148.104053325,144.6972431
1,4,5,275.9015155250001,306.39469314999997
1,4,6,395.801542475,515.65331595
1,4,7,444.958873725,689.5177754250001
1,4,8,549.3571705250004,810.8562289749995
1,4,9,709.8674764750003,928.3286590999992
1,4,10,879.063118175,1178.6974039499996
1,4,11,1070.1156717249999,1344.7544994
1,4,12,1239.350713325,1468.8858721499996
1,4,13,1403.43767875,1503.4288800749996
1,4,14,1589.804570325,1619.173561825
1,4,15,1707.4556502249998,1812.35217555
1,4,16,1782.6396335000002,1887.9049101249998
1,4,17,1846.032236825,2016.1874198
1,4,18,1793.1341304499997,2126.8059377750005
1,4,19,1697.1648578,2236.7608742500006
1,4,20,1659.0690993999997,2334.632290375
1,4,21,1608.91058355,2404.29559395
1,4,22,1670.1190133999999,2507.4213277
1,4,23,1723.20710685,2668.9025234749997
1,4,24,1843.8087359250007,2788.089018325
1,5,5,134.3337422250002,179.44742665
1,5,6,240.2349223000001,350.59707715
1,5,7,335.2721996749999,525.226518225
1,5,8,443.0180743250004,684.3099680249995
1,5,9,617.6908136250004,800.5336312249995
1,5,10,770.1402467500002,1050.902376075
1,5,11,946.950241175,1219.5991514749999
1,5,12,1207.3458829750002,1373.4821257499998
1,5,13,1398.2293440250003,1389.8055158249997
1,5,14,1471.1466292500004,1549.78548625
1,5,15,1592.796907375,1741.9495464
1,5,16,1676.329322525,1781.3971848249998
1,5,17,1731.5229900250001,1950.1349989250002
1,5,18,1683.0422474250001,2060.7535169000002
1,5,19,1592.4609886000005,2170.7084533750003
1,5,20,1562.9146450500002,2268.5798695000003
1,5,21,1566.7015932250006,2338.2431730750004
1,5,22,1668.1964930500008,2441.368906825
1,5,23,1729.9179907000002,2577.8846032499996
1,5,24,1846.238342375,2697.0710981
1,6,6,148.73865530000018,171.78277180000003
1,6,7,250.958250775,343.8870158999998
1,6,8,369.33250695000004,546.1555253249996
1,6,9,551.2549951250003,694.0369310499997
1,6,10,710.0465317749998,950.6550900999996
1,6,11,895.3203762249993,1058.424207025
1,6,12,1133.1574815,1215.677941725
1,6,13,1365.1978640500001,1280.2937005499998
1,6,14,1432.182947325,1467.0909892750003
1,6,15,1550.8171220749996,1583.5531197750001
1,6,16,1603.7432212249998,1630.30759735
1,6,17,1624.380346675,1782.0218883750003
1,6,18,1600.6952065500009,1896.287671425
1,6,19,1546.1872077750008,2019.839598775
1,6,20,1495.9677920500003,2159.661948975
1,6,21,1482.542694725,2224.9404004000003
1,6,22,1590.5925844500007,2326.9518433499998
1,6,23,1715.09243565,2453.5163406
1,6,24,1833.053177425,2589.487473225
1,7,7,146.909223375,191.30162954999986
1,7,8,295.478958475,417.54125034999976
1,7,9,474.75387565000005,587.0772597749997
1,7,10,654.9326404749997,742.9696941999999
1,7,11,836.02212155,846.4684279999999
1,7,12,1076.8245663999999,1014.0517502499999
1,7,13,1271.0488765000002,1131.1301766499996
1,7,14,1344.1803125499996,1322.997984475
1,7,15,1466.6673889500003,1446.8467720500003
1,7,16,1517.1347275750004,1561.3430367249998
1,7,17,1524.8292815,1691.3823439749997
1,7,18,1501.1441413750008,1765.4854821499998
1,7,19,1450.2713926500007,1859.7787938499998
1,7,20,1429.970121875,2052.4304920249997
1,7,21,1424.1778394000003,2122.098524725
1,7,22,1516.1451261750003,2206.884602825
1,7,23,1648.2991585249997,2378.9444804749996
1,7,24,1748.7676193250004,2486.9369733999997
1,8,8,160.15148700000015,216.99881799999997
1,8,9,357.33300835,395.63459062500004
1,8,10,543.0303166250001,489.94637699999987
1,8,11,715.8347459249999,658.1782613249998
1,8,12,944.9730206749997,827.1600019500002
1,8,13,1146.9683812500002,999.6610786750003
1,8,14,1192.1789071999997,1195.002623925
1,8,15,1351.2784934,1365.9772176499996
1,8,16,1435.1529738749996,1504.9286416999998
1,8,17,1465.5898950500005,1633.78036755
1,8,18,1426.3359303250004,1708.8912752749998
1,8,19,1374.0786485750004,1776.0341996749999
1,8,20,1357.9101759999999,1988.486821475
1,8,21,1423.7144554000001,2043.815411525
1,8,22,1465.067528525,2125.0938791999997
1,8,23,1546.690049775,2316.5040792749996
1,8,24,1662.7423851750004,2402.943449775
1,9,9,221.46724677500018,200.09506990000003
1,9,10,409.83511905,377.74078852499997
1,9,11,562.268306425,543.5370960749999
1,9,12,787.4946076000002,742.5639976999998
1,9,13,1002.682340225,888.803639625
1,9,14,1103.4656592000001,1024.2317868250002
1,9,15,1243.02429105,1246.8411278500002
1,9,16,1301.0908436249997,1372.2806987250003
1,9,17,1364.4834469499997,1504.5040582
1,9,18,1314.9243333250001,1629.83049915
1,9,19,1298.966099025,1753.2258633000001
1,9,20,1342.677027800001,1940.2051812250006
1,9,21,1355.103328600001,1990.928996275
1,9,22,1396.4054861,2081.2709440999997
1,9,23,1466.25577965,2245.1208820250004
1,9,24,1612.205517125,2266.7059822749998
1,10,10,205.93546002499997,220.25242680000002
1,10,11,396.98944912499996,378.08076237499995
1,10,12,618.4201614750001,579.5003639249999
1,10,13,791.3008807000003,735.1138877750001
1,10,14,910.4005791250004,888.6073454250004
1,10,15,1051.594575275,1101.6810063250002
1,10,16,1107.8889077749996,1225.8874890750005
1,10,17,1173.508842875,1419.321734525
1,10,18,1238.1308028,1523.3218770750004
1,10,19,1208.1146964750005,1660.1260088250006
1,10,20,1240.9869588750016,1837.8519367000004
1,10,21,1300.8035912000012,1912.3533261250002
1,10,22,1324.6380987000002,2022.6753514499999
1,10,23,1369.7366387750003,2149.563270349999
1,10,24,1446.1849038000005,2195.9558683249998
1,11,11,193.57635849999997,194.6901420749998
1,11,12,407.081151075,344.85016410000026
1,11,13,554.0288455000002,593.8677982500002
1,11,14,684.0845569749999,799.0936171000002
1,11,15,857.0961191249999,969.3747819250001
1,11,16,973.4411676250002,1135.2827599999998
1,11,17,1031.0482206,1274.684617975
1,11,18,1037.094836125,1386.275769175
1,11,19,1031.5342841000006,1549.674757875
1,11,20,1216.1007748000006,1679.0167682249999
1,11,21,1286.1783598000002,1783.474063525
1,11,22,1281.6514002750005,1938.9891650499994
1,11,23,1303.4119121250003,2105.302568899999
1,11,24,1351.4690852750005,2144.623988175
1,12,12,222.1999072999999,228.39730110000008
1,12,13,410.20963290000043,421.59415622500006
1,12,14,563.6683297500003,669.371821725
1,12,15,791.0850911500006,838.6338460499999
1,12,16,825.0472415000002,1007.8483095999997
1,12,17,879.5839139500001,1154.3693976
1,12,18,907.8090636250002,1197.068782
1,12,19,972.7315567000005,1334.5522338250003
1,12,20,1163.5556879000005,1505.5298423999998
1,12,21,1237.1256407000008,1658.870865675
1,12,22,1232.598681175001,1848.2891112249993
1,12,23,1288.8570527000006,2047.474349999999
1,12,24,1336.293119550001,2086.7957692749997
1,13,13,238.5551532750004,260.667447525
