day,i_hour,t_hour,reserve_up_MW,reserve_down_MW
1,1,1,180.8748626750001,177.56554872500004
1,1,2,278.7019766000003,193.54573809999982
1,1,3,313.2102036250003,220.97303505
1,1,4,336.0602348249999,213.56656882500002
1,1,5,388.88961865,270.7662003749999
1,1,6,386.6246367500001,324.2931558500001
1,1,7,412.61797082500016,412.261832725
1,1,8,500.338029550001,504.9261303999999
1,1,9,492.90966955000033,507.70717882500026
1,1,10,446.2019974250003,520.6818213249995
1,1,11,557.5899879000003,665.6311670749994
1,1,12,627.5983135750002,681.5735116999995
1,1,13,672.4579862250004,680.6991354499994
1,1,14,721.4767383250003,697.4986092249998
1,1,15,742.6939186249999,804.7551423999994
1,1,16,788.881126425,800.2234127249994
1,1,17,823.889395175,816.973194825
1,1,18,920.4786887999999,862.6831705
1,1,19,1043.3404660249996,837.4694571499997
1,1,20,984.5225893499996,893.5708335749999
1,1,21,1014.0701705499991,844.9499499000001
1,1,22,1076.716606675,886.0414085500001
1,1,23,1061.6994442499995,930.6999399249996
1,1,24,1025.9070135999996,964.1007885999995
1,2,2,184.52598205000007,131.40136415
1,2,3,242.14126017500016,190.7279686749999
1,2,4,266.57193612499987,241.99476700000002
1,2,5,312.699961125,266.69106387499994
1,2,6,373.5927082750005,329.69455185
1,2,7,366.93956385,372.8312149499999
1,2,8,445.4859711250004,471.783474175
1,2,9,476.02039935000016,486.2791940499999
1,2,10,422.90339515000034,457.2978244250001
1,2,11,512.6359215999996,563.8927290249994
1,2,12,539.51196585,682.1835501999991
1,2,13,673.8158541000001,676.5247462999996
1,2,14,649.3115426999999,647.8173483999992
1,2,15,648.5504375750006,757.1784343749996
1,2,16,720.2955177249999,780.8257176000001
1,2,17,742.9935741999998,800.8571822749999
1,2,18,839.1908593750003,829.1081690499994
1,2,19,912.8979510499996,816.1545196749998
1,2,20,929.5802540250002,946.8063886750001
1,2,21,963.8293842000008,904.428726675
1,2,22,1024.8379581000002,857.6649866500002
1,2,23,980.4911743249993,903.1142878249996
1,2,24,1007.1292416999997,968.9848383249996
1,3,3,134.53043870000002,140.414684625
1,3,4,191.85871007500003,184.12798739999985
