R_ID,Resource,region,cluster,Existing_Cap_MW,Max_energy_MWh,Min_energy_MWh,Min_power,initial_energy_proportion,Charge_efficiency,Discharge_efficiency,Var_OM_cost_per_MWh,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,final_energy_proportion
101,battery,WEC_SDGE,1,181.2,870.5,0,0,0.5,0.9099,0.9099,0.0000001,578000,74501,14450,177000,22814,4425,0.405143974
102,battery,WEC_SDGE,2,185,1291.4,0,0,0.5,0.8825,0.8825,0.0000001,578000,74501,14450,177000,22814,4425,0.066726913
103,battery,WEC_SDGE,3,186,811.9,0,0,0.5,0.9326,0.9326,0.0000001,578000,74501,14450,177000,22814,4425,0.402388565
104,battery,WEC_SDGE,4,189,1598.9,0,0,0.5,0.9392,0.9392,0.0000001,578000,74501,14450,177000,22814,4425,0.395991757
105,battery,WEC_SDGE,5,191.9,1150.7,0,0,0.5,0.9277,0.9277,0.0000001,578000,74501,14450,177000,22814,4425,0.284623991
106,battery,WEC_SDGE,6,177.2,1407,0,0,0.5,0.8793,0.8793,0.0000001,578000,74501,14450,177000,22814,4425,0.279614851
107,battery,WEC_SDGE,7,189.7,1267,0,0,0.5,0.9466,0.9466,0.0000001,578000,74501,14450,177000,22814,4425,0.49524205
108,battery,WEC_SDGE,8,190.1,876.2,0,0,0.5,0.9098,0.9098,0.0000001,578000,74501,14450,177000,22814,4425,0.410837028
109,battery,WEC_SDGE,9,187.5,1402.5,0,0,0.5,0.9253,0.9253,0.0000001,578000,74501,14450,177000,22814,4425,0.300364132
110,battery,WEC_SDGE,10,176.2,1261.5,0,0,0.5,0.9028,0.9028,0.0000001,578000,74501,14450,177000,22814,4425,0.153841446
