day,hour,demand
1,1,1555
1,2,1473
1,3,1463
1,4,1503
1,5,1642
1,6,1850
1,7,2051
1,8,2129
1,9,2205
1,10,2284
1,11,2313
1,12,2412
1,13,2388
1,14,2310
1,15,2254
1,16,2202
1,17,2202
1,18,2437
1,19,2453
1,20,2409
1,21,2349
1,22,2176
1,23,1884
1,24,1617
2,25,1451
2,26,1377
2,27,1410
2,28,1488
2,29,1669
2,30,1931
2,31,2182
2,32,2302
2,33,2421
2,34,2535
2,35,2588
2,36,2684
2,37,2654
2,38,2567
2,39,2506
2,40,2437
2,41,2416
2,42,2592
2,43,2632
2,44,2581
2,45,2501
2,46,2351
2,47,2087
2,48,1728
3,49,1546
3,50,1454
3,51,1432
3,52,1497
3,53,1682
3,54,1994
3,55,2362
3,56,2584
3,57,2746
3,58,2906
3,59,3030
3,60,2900
3,61,2690
3,62,2633
3,63,2577
3,64,2486
3,65,2492
3,66,2720
3,67,2743
3,68,2676
3,69,2585
3,70,2329
3,71,1988
3,72,1725
4,73,1596
4,74,1506
4,75,1478
4,76,1530
4,77,1714
4,78,2020
4,79,2413
4,80,2635
4,81,2782
4,82,2915
4,83,3040
4,84,2919
4,85,2720
4,86,2668
4,87,2612
4,88,2544
4,89,2540
4,90,2737
4,91,2746
4,92,2678
4,93,2586
4,94,2391
4,95,2038
4,96,1757
5,97,1639
5,98,1545
5,99,1525
5,100,1606
5,101,1776
5,102,2080
5,103,2445
5,104,2632
5,105,2790
5,106,2934
5,107,3050
5,108,2926
5,109,2723
5,110,2669
5,111,2606
5,112,2535
5,113,2524
5,114,2715
5,115,2733
5,116,2657
5,117,2572
5,118,2342
5,119,2012
5,120,1759
6,121,1641
6,122,1556
6,123,1537
6,124,1584
6,125,1763
6,126,2059
6,127,2424
6,128,2637
6,129,2792
6,130,2929
6,131,3037
6,132,2891
6,133,2667
6,134,2596
6,135,2527
6,136,2445
6,137,2457
6,138,2649
6,139,2664
6,140,2582
6,141,2514
6,142,2292
6,143,2004
6,144,1782
7,145,1662
7,146,1570
7,147,1527
7,148,1560
7,149,1707
7,150,1921
7,151,2179
7,152,2317
7,153,2487
7,154,2668
7,155,2769
7,156,2616
7,157,2389
7,158,2305
7,159,2239
7,160,2186
7,161,2217
7,162,2488
7,163,2495
7,164,2445
7,165,2380
7,166,2188
7,167,1898
7,168,1672
8,169,1522
8,170,1451
8,171,1461
8,172,1531
8,173,1690
8,174,1911
8,175,2150
8,176,2248
8,177,2337
8,178,2402
8,179,2415
8,180,2494
8,181,2460
8,182,2384
8,183,2315
8,184,2243
8,185,2229
8,186,2453
8,187,2491
8,188,2457
8,189,2385
8,190,2120
8,191,1803
8,192,1556
9,193,1426
9,194,1370
9,195,1407
9,196,1499
9,197,1704
9,198,2057
9,199,2525
9,200,2740
9,201,2797
9,202,2829
9,203,2825
9,204,2893
9,205,2860
9,206,2789
9,207,2705
9,208,2595
9,209,2537
9,210,2689
9,211,2719
9,212,2662
9,213,2578
9,214,2298
9,215,1959
9,216,1702
10,217,1599
10,218,1523
10,219,1497
10,220,1564
10,221,1751
10,222,2073
10,223,2527
10,224,2775
10,225,2875
10,226,2962
10,227,3048
10,228,2898
10,229,2676
10,230,2598
10,231,2523
10,232,2460
10,233,2452
10,234,2686
10,235,2719
10,236,2663
10,237,2584
10,238,2323
10,239,1994
10,240,1742
11,241,1627
11,242,1543
11,243,1523
11,244,1587
11,245,1775
11,246,2094
11,247,2533
11,248,2771
11,249,2886
11,250,3014
11,251,3076
11,252,2909
11,253,2682
11,254,2585
11,255,2535
11,256,2472
11,257,2483
11,258,2698
11,259,2718
11,260,2674
11,261,2599
11,262,2328
11,263,2011
11,264,1762
12,265,1641
12,266,1563
12,267,1536
12,268,1602
12,269,1777
12,270,2070
12,271,2493
12,272,2704
12,273,2836
12,274,2954
12,275,3061
12,276,2902
12,277,2699
12,278,2655
12,279,2592
12,280,2526
12,281,2508
12,282,2686
12,283,2728
12,284,2658
12,285,2593
12,286,2334
12,287,2006
12,288,1779
13,289,1668
13,290,1597
13,291,1569
13,292,1623
