day,hour,demand,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,demand_27,demand_28,demand_29,demand_30,demand_31,demand_32,demand_33,demand_34,demand_35,demand_36,demand_37,demand_38,demand_39,demand_40,demand_41,demand_42,demand_43,demand_44,demand_45,demand_46,demand_47,demand_48,demand_49,demand_50,demand_51,demand_52,demand_53,demand_54,demand_55,demand_56,demand_57,demand_58,demand_59,demand_60,demand_61,demand_62,demand_63,demand_64,demand_65,demand_66,demand_67,demand_68,demand_69,demand_70,demand_71,demand_72,demand_73,demand_74,demand_75,demand_76,demand_77,demand_78,demand_79,demand_80,demand_81,demand_82,demand_83,demand_84,demand_85,demand_86,demand_87,demand_88,demand_89,demand_90,demand_91,demand_92,demand_93,demand_94,demand_95,demand_96,demand_97,demand_98,demand_99,demand_100
1,1,1555,1496.593728,1607.031605,1555.011608,1623.597205,1521.391316,1477.329443,1631.402402,1416.040802,1528.456055,1625.822257,1462.755913,1569.816178,1666.648817,1440.406734,1562.43545,1424.040081,1571.486619,1609.312806,1580.120519,1548.510974,1699.271378,1582.336426,1579.623843,1688.196375,1393.573818,1553.405792,1498.036341,1589.192387,1448.232484,1607.168695,1617.236279,1644.203751,1584.369657,1602.776589,1589.062688,1476.602716,1623.926312,1549.664208,1592.412342,1532.401122,1358.20503,1505.884697,1533.438496,1509.552219,1487.125913,1567.847866,1642.520592,1748.617711,1437.638621,1493.681758,1456.796485,1553.610512,1562.016881,1607.62734,1410.298068,1635.404888,1652.232822,1443.111479,1539.083492,1517.414291,1536.126557,1520.92336,1495.753386,1500.803211,1679.452092,1681.44843,1422.96373,1391.385517,1701.975654,1725.800947,1586.548258,1592.369765,1540.758025,1739.210132,1564.702235,1720.458721,1699.938637,1688.493514,1488.728057,1559.755656,1674.759426,1495.389432,1631.320681,1628.147863,1519.495189,1651.389262,1573.491056,1561.095262,1554.728277,1655.899438,1569.163569,1492.967107,1548.913107,1425.605809,1417.221122,1648.678476,1526.201763,1539.602889,1505.309166,1625.513797
1,2,1473,1361.711388,1515.978823,1489.461092,1453.702284,1346.414571,1331.583141,1508.356092,1362.308413,1454.343938,1527.269361,1349.279169,1453.71726,1525.978869,1395.042555,1492.529496,1376.698991,1462.468534,1502.337075,1431.776234,1449.330661,1679.459967,1479.045162,1447.600045,1541.778037,1396.734256,1468.391774,1467.524193,1470.865283,1361.032312,1541.063568,1532.051832,1527.877989,1542.353615,1461.520403,1524.494594,1385.883403,1492.224982,1521.088628,1463.734798,1449.326756,1307.416631,1416.958861,1476.513549,1402.517195,1429.918671,1542.577191,1578.799968,1603.943203,1372.08611,1433.672465,1442.234872,1365.443119,1495.792421,1621.585247,1384.861165,1549.249892,1600.037115,1392.181645,1499.81102,1459.33943,1465.827161,1537.151535,1393.339787,1466.968216,1521.575228,1545.866919,1404.350555,1311.845358,1563.248356,1699.097224,1411.126616,1481.154351,1455.76359,1708.805327,1489.665599,1598.54678,1572.928546,1580.297883,1533.94436,1472.298926,1547.278747,1450.451723,1511.967063,1545.876961,1477.605732,1581.036631,1465.78772,1450.92667,1473.208165,1535.100393,1462.253629,1471.275141,1503.89784,1297.496194,1366.476457,1545.260204,1515.87238,1475.116761,1445.351586,1522.183458
1,3,1463,1381.382335,1516.31869,1512.285781,1428.86177,1455.837294,1400.030833,1476.667453,1363.426665,1442.027347,1501.922574,1336.75545,1381.955192,1528.000117,1414.948287,1481.681486,1414.047976,1402.566746,1414.098285,1457.055286,1467.078846,1652.307141,1443.610821,1398.444874,1556.370579,1335.365591,1422.20613,1533.394819,1524.748228,1377.777654,1559.364135,1512.884749,1553.480146,1577.778588,1472.189481,1496.253467,1398.422062,1420.950251,1562.50154,1513.770987,1452.067152,1379.845407,1410.066915,1443.127549,1383.601438,1473.155516,1499.164798,1570.735066,1629.134913,1432.921979,1371.715384,1439.98259,1377.836521,1540.573631,1634.45296,1372.133008,1490.382826,1528.851076,1339.20317,1481.505941,1498.079652,1462.89465,1537.834461,1377.276291,1511.006817,1437.084394,1569.416145,1350.060696,1380.088512,1541.853629,1661.467516,1377.178211,1474.733763,1429.711962,1628.548878,1503.718929,1648.840002,1547.40916,1517.696533,1499.999488,1438.456608,1513.636506,1380.825339,1581.310258,1518.329449,1465.028078,1489.874538,1406.021964,1446.113818,1484.223816,1524.90219,1506.632681,1409.049712,1511.576303,1357.149798,1302.931765,1511.481572,1454.969743,1455.084648,1450.951043,1515.395073
1,4,1503,1451.251709,1540.197885,1517.639239,1424.297676,1554.288785,1459.405352,1554.357284,1409.818293,1518.265634,1494.483153,1345.976068,1449.268961,1555.818923,1460.109772,1468.187165,1407.917448,1418.767001,1407.510603,1515.66384,1558.936782,1685.824015,1467.061622,1422.234517,1656.213188,1475.166475,1417.944048,1553.239354,1454.457354,1412.899702,1523.003551,1575.317313,1521.224175,1548.49749,1485.141085,1462.185533,1330.676436,1450.929051,1514.448637,1527.394052,1465.825068,1375.382843,1559.670034,1521.176587,1444.412218,1529.112174,1539.120789,1598.971618,1628.528116,1429.101203,1461.860238,1488.729965,1432.241229,1603.968085,1707.359402,1417.966056,1527.982567,1562.600912,1440.03585,1509.751823,1503.4444,1486.457168,1576.695111,1511.182775,1511.406102,1496.308831,1574.077369,1415.006256,1371.926992,1548.06634,1574.073518,1385.128341,1547.486627,1509.489626,1629.425607,1479.383954,1645.457115,1485.801633,1511.848976,1615.275477,1426.268115,1565.168626,1440.93326,1571.554733,1596.751682,1442.357332,1474.451855,1398.370105,1449.056062,1459.779911,1560.684996,1487.794644,1328.182399,1569.643716,1460.267101,1380.230797,1531.657195,1458.036089,1499.201833,1489.304644,1532.778192
1,5,1642,1527.702769,1665.744024,1678.726453,1437.336129,1666.082023,1555.261564,1689.968625,1622.749143,1617.563893,1683.131427,1471.793931,1560.125612,1696.091716,1611.503892,1624.729559,1479.91607,1612.548711,1605.918918,1672.374298,1732.876563,1748.389585,1639.380954,1485.747514,1749.974971,1630.908321,1539.271039,1639.601459,1519.212679,1578.208011,1750.053772,1693.440933,1578.84301,1736.170809,1677.929722,1551.851412,1448.355124,1627.329408,1687.626548,1676.17173,1538.586074,1542.892618,1740.705983,1683.284821,1642.840212,1610.49422,1720.083292,1728.587335,1750.1938,1544.139416,1560.387136,1623.012381,1543.330529,1801.140176,1797.744936,1535.63716,1674.506042,1699.835871,1570.021177,1615.90848,1634.298892,1642.353,1755.381618,1597.990825,1706.227509,1616.939026,1667.173036,1583.077796,1504.011553,1667.200797,1701.817127,1583.614711,1720.4459,1615.743313,1749.858232,1673.014589,1794.913609,1618.680708,1692.518471,1755.7981,1533.769536,1639.466953,1642.217222,1610.408012,1669.290776,1672.409261,1594.368037,1606.379515,1692.505517,1621.061912,1696.812724,1736.869175,1454.191345,1702.305774,1662.922059,1567.965445,1656.363411,1651.98018,1662.412538,1685.001392,1641.309619
1,6,1850,1760.95237,1818.653666,1891.807634,1580.842657,1742.68906,1753.456851,1881.567262,1787.558844,1908.819204,1920.113212,1696.464278,1755.831248,1905.263829,1755.269454,1809.17543,1695.381748,1891.602074,1788.692371,1803.308791,2005.20134,1950.06423,1787.780424,1741.233615,1948.983883,1760.829699,1734.498389,1864.79522,1743.007436,1822.002203,1907.267732,1978.839064,1824.997388,1964.286642,1915.574339,1823.292943,1668.750159,1785.757058,1899.843042,1878.555758,1710.509843,1830.351549,1873.402378,1809.757566,1722.315774,1763.504763,1944.751398,1944.389067,1880.035376,1721.771647,1810.531265,1797.533569,1822.531948,1991.595688,1893.062902,1688.680831,1922.784191,1868.416138,1793.690205,1829.419067,1948.635155,1983.005637,1830.209505,1811.108712,1927.211817,1854.836194,1893.716529,1815.966653,1871.977633,1769.23984,1899.252505,1845.121971,1893.05043,1808.003323,1975.918659,1921.300811,2117.856581,1795.039796,2025.612957,1886.94103,1755.791965,1924.213353,1845.409921,1893.553984,1876.133913,1941.330725,1843.541088,1809.204494,1874.715598,1899.340484,1838.315736,1923.702911,1619.370944,1852.15525,1905.980073,1792.272801,1872.357517,1826.008584,1805.367312,1906.385572,1834.813156
1,7,2051,2003.719631,1978.233441,1969.769594,1795.492923,2083.211884,2100.318337,2119.316025,1913.537999,2010.799988,2114.344019,1800.721891,1932.718476,2035.811294,1944.628395,2008.644298,1983.778286,2131.405238,1886.252042,1967.565443,2135.731457,2086.114107,2036.733586,1967.07799,2136.904169,1928.977805,1910.418098,2189.83055,1967.36483,2026.039309,2103.525094,2199.572728,2071.871239,2110.208273,2151.431418,2010.158878,1954.597726,1961.044556,2131.900565,2196.070613,1958.634814,2047.266212,2073.42011,2106.243772,1978.860669,2065.777996,1981.459358,2209.333605,2084.099598,2012.161406,2007.873813,1954.234767,1993.915064,2141.619548,2034.679576,2033.616091,2085.061434,2069.563544,1999.017356,1982.120046,2144.904878,2146.964275,1902.848651,2029.274079,2043.489082,2011.469584,2206.103542,2023.434881,2137.159043,2076.440343,2101.259587,2047.999329,2088.849958,2156.272517,2134.521424,2021.047966,2186.285616,1935.36388,2124.395144,2148.507606,1911.652039,2146.07242,1939.375302,2041.526081,2103.165526,2141.44098,2128.129853,2039.790916,2113.489785,2107.113833,2029.493198,2043.945291,1835.67362,1970.194114,2081.102047,1966.455824,1929.450053,1976.623984,2073.047633,2028.302161,2035.2889
1,8,2129,2090.429792,1883.513166,2195.951777,1915.893487,2186.732354,2163.847811,2281.353372,1908.589466,2163.412527,2278.908527,1915.772026,2071.150394,2015.438472,2114.705312,2214.790843,2067.374047,2173.259512,1921.43746,2124.32189,2204.128957,2197.219472,2099.65415,2073.516173,2196.19301,2024.785462,1917.275981,2227.801655,1971.734574,2044.998085,2232.851947,2208.493756,2097.426259,2107.902701,2283.20084,2042.81463,2109.223648,2044.45217,2288.038214,2287.815465,1976.423956,2122.460234,2252.299088,2121.51338,2082.183462,2083.403475,2014.847786,2256.853274,2194.89691,2127.231825,2004.583936,1981.839941,2046.585472,2189.738655,2193.24308,2120.546644,2181.385012,2113.352735,2123.737475,2052.553246,2199.316592,2128.682921,2012.279739,2050.409792,2155.176434,2071.766589,2280.41889,1993.031368,2290.158734,2218.377097,2184.094167,2156.887712,2158.297161,2233.25703,2142.140095,2156.151321,2111.10778,2057.336394,2228.517289,2313.739978,2015.927623,2219.803046,2054.570114,2089.705862,2151.54764,2349.130843,2180.488075,2115.929491,2261.262039,2230.055321,2126.648805,2096.523136,1885.862068,2066.622485,2096.318117,2008.781914,2080.624054,2066.944825,2033.143827,2088.836047,2209.993708
1,9,2205,2080.962758,2098.253197,2342.140633,2048.323576,2193.216968,2227.513382,2278.201479,2006.386352,2088.378948,2329.785521,2110.489742,2169.822281,2099.17595,2132.970661,2288.203191,2126.342557,2213.33141,1963.940026,2247.275217,2275.615518,2372.033779,2133.688614,2158.868754,2427.820223,2141.366036,2066.283842,2404.25927,2075.656881,2176.068664,2339.47635,2424.971852,2068.617379,2216.160424,2407.728898,2074.888408,2166.818319,2115.453923,2243.536331,2346.824244,2127.444152,2168.220383,2235.651911,2214.822845,2230.728192,2178.700074,2151.407961,2402.494121,2093.384985,2078.022669,2062.108764,2074.901062,2162.018697,2162.11449,2234.950038,2179.046061,2207.891717,2261.639785,2192.748606,2048.031808,2291.00137,2159.143106,2115.692908,2003.564596,2234.052906,2110.398897,2368.339207,2140.708604,2436.862408,2274.773356,2275.950154,2305.105529,2363.388408,2359.207671,2274.730496,2120.035075,2137.523059,2109.238019,2178.580501,2377.957894,2277.936818,2200.01406,2038.351619,2031.072769,2214.386767,2479.922295,2263.286849,2154.439913,2317.020305,2368.139211,2112.608245,2240.057706,1964.433499,2066.109043,2196.133529,2115.146302,2184.206276,2271.636361,2089.860013,2146.345515,2223.132511
1,10,2284,2160.425899,2202.675088,2327.773452,2155.943447,2374.182894,2259.64871,2173.348743,2229.356578,2193.412993,2422.158801,2110.515822,2308.475617,2125.97371,2206.353567,2423.950892,2149.020824,2145.613258,1948.653576,2300.125776,2280.581817,2536.168892,2316.329762,2235.776476,2380.395885,2328.790877,2228.60526,2407.197913,2242.364601,2213.290167,2369.534502,2534.800519,2063.711572,2286.98721,2480.752611,2086.737934,2219.261926,2005.885541,2315.706413,2338.21212,2143.825013,2200.633049,2251.910262,2403.66009,2285.035679,2200.948249,2247.333116,2371.448432,2158.038792,2092.695533,2155.654175,2298.517953,2168.081353,2247.160529,2431.883563,2348.705856,2262.372184,2387.843849,2253.827919,2240.200488,2339.138944,2319.211922,2177.860438,2234.429421,2348.505762,2188.933478,2469.811887,2159.250381,2409.755166,2242.166377,2445.252687,2388.167006,2427.655049,2300.545096,2213.884086,2202.934086,2167.701956,2305.349689,2279.784093,2461.33497,2335.179403,2251.519645,2063.787364,2099.727118,2312.023183,2498.243752,2407.860459,2229.81978,2361.069623,2279.440115,2112.724685,2397.491363,2098.051604,2261.414918,2203.629692,2234.317777,2241.497515,2375.770064,2191.957638,2206.967281,2359.821415
