hour,day,reserve_up_MW,reserve_down_MW
1,1,126.13434917500012,112.64205504999991
2,1,126.67945827500009,116.93801772500001
3,1,124.64882545000009,123.35647899999998
4,1,125.90834245000019,123.16321707499998
5,1,118.8183812750001,104.33904657499993
6,1,117.62541070000009,106.46268929999997
7,1,120.48072272499999,117.50075492499997
8,1,116.2758796,113.39466870000001
9,1,113.093474,109.61930587499995
10,1,138.78056030000022,110.58041272499989
11,1,137.75503689999994,120.13692904999998
12,1,128.60475825000015,138.55616432499988
13,1,123.39761515000006,140.04412439999993
14,1,141.415321825,138.97722574999995
15,1,143.91448582500018,153.70402754999986
16,1,141.05085254999995,173.73699857499997
17,1,143.50320015000005,174.76556070000004
18,1,151.77118437500025,182.18014287500017
19,1,137.52870762500024,179.610844975
20,1,150.83320557500022,175.90657305000005
21,1,143.905116825,202.35256249999998
22,1,146.80187109999991,188.77327092500002
23,1,146.64590592500008,176.54436257499992
24,1,143.4183808250001,173.12956767500003
25,2,149.95252812500001,169.63564027500001
26,2,142.077287125,171.70688115000004
27,2,142.227274975,171.00803580000002
28,2,141.03099075000006,168.00605027499995
29,2,148.18117135,165.31438509999987
30,2,126.51165257500006,165.67549779999996
31,2,137.15765015000002,155.490737675
32,2,139.40386477499982,176.59525587500002
33,2,150.40818960000007,190.39015362499993
34,2,152.31114715000024,196.27232797500008
35,2,167.12266962499987,207.92011107500002
36,2,159.2261953250001,210.60248674999985
37,2,167.50702022500016,182.4729568249999
38,2,175.81769455000003,176.2462357000001
39,2,160.41524542500002,160.289244425
40,2,174.822183275,164.2401892000001
41,2,202.28899655000012,161.70697509999997
42,2,202.69693167499992,152.21718367499994
43,2,196.87952482500003,144.35246272499992
44,2,188.60661422499982,164.5343711250001
45,2,179.2551474250002,174.04215457500007
46,2,169.7028206000001,189.52304422499986
47,2,187.9736154500004,189.75288595
48,2,180.20217255000006,181.7998617749999
49,3,175.119384175,171.21663762499998
50,3,171.374319475,175.07845209999996
51,3,173.90412375,175.56706105
52,3,161.67868894999992,186.48944512499997
53,3,169.32839309999997,181.05670942499995
54,3,159.27984995,171.74687210000002
55,3,161.36755327499986,170.58739422500003
56,3,179.3955508749999,175.87508032499994
57,3,180.70219772500025,165.89169592500016
58,3,155.5751956999999,164.12869130000004
59,3,172.82858140000008,165.3384422000001
60,3,172.8569325499999,190.2222097249999
61,3,165.2194183499999,199.153920525
62,3,169.3725282500002,210.96269395000004
63,3,163.69302375000007,199.84621147500013
64,3,170.50373530000013,203.5273679749999
65,3,181.33462105000007,206.3187132999999
66,3,164.71019250000006,199.54333405
67,3,162.79523779999982,189.65952974999996
68,3,166.09819472499998,198.39908854999982
69,3,174.95064597500016,211.63109749999995
70,3,194.42113977500009,193.22601717499998
71,3,180.81894110000002,187.25936967499993
72,3,181.1133358250001,195.22510317500002
73,4,151.893824225,150.96203077499996
74,4,157.12800894999998,147.6066117749999
75,4,158.9768772750001,155.82829927499995
76,4,157.99638625,162.93988939999994
77,4,151.69746235000002,154.3468899249999
78,4,158.41615482499992,165.71446332500005
79,4,167.362817125,171.34671312500006
80,4,181.20210892499995,181.32666602499998
81,4,188.1480346250001,167.03430352499993
82,4,177.94307635000004,184.33561385000002
83,4,178.30938522500003,182.87115837499988
84,4,182.29397545,186.36715637499992
85,4,169.32387160000013,212.17381494999992
86,4,175.43391870000016,214.60093569999987
87,4,182.92116645000004,190.26912157500004
88,4,180.80277222499998,192.048808525
89,4,173.4842812,191.79813559999985
90,4,188.46253182499993,210.34086982499986
91,4,190.4117625250001,199.0548826749999
92,4,200.28356079999992,227.04010044999995
93,4,192.52030117500007,219.885087
94,4,188.33348305000015,218.10036044999984
95,4,207.5166295750003,212.39663660000005
96,4,207.70850435000037,207.44412632499996
97,5,148.49822100000011,129.98533067499997
98,5,148.38408630000015,122.3980826000001
99,5,141.48836665000005,118.292170775
100,5,151.6763941250001,112.09424154999992
101,5,157.0377779250002,112.29697707500003
102,5,143.97992067500016,118.71544522499988
103,5,148.46293417500002,128.287991125
104,5,147.69727152500008,134.0710432250001
105,5,164.7238483249999,139.65540155000002
106,5,165.67039642499992,152.16909654999995
107,5,169.10652090000002,160.66700774999984
108,5,167.81637622500025,177.44993157500005
109,5,176.00763062499993,169.41823292500013
110,5,192.51404707500024,165.85935362499993
111,5,208.8847059000003,174.61428207499995
112,5,187.90016260000002,178.09934247499976
113,5,186.73367350000012,181.5616703500001
114,5,196.76407547500003,186.05609400000003
115,5,190.76668869999997,185.71653980000013
116,5,191.02887537499998,179.44931557499984
117,5,190.57809042500014,156.17137979999995
118,5,186.5381508500001,160.0344820750001
119,5,190.57759380000027,165.862421225
120,5,194.51710639999993,150.2273973
121,6,187.15834014999996,131.548130525
122,6,189.18182065000002,113.7101017
123,6,190.00063037500001,119.88385879999991
124,6,196.008420925,138.9846411
125,6,197.42090627500002,136.36730817500006
126,6,195.619370075,138.65586969999998
127,6,220.222744325,141.51068492499982
128,6,215.7748476000001,166.0002555
129,6,185.79844007499986,141.33483997499997
130,6,196.2692793000002,141.01862729999988
131,6,206.5315316999999,171.95412784999996
132,6,210.13892400000003,181.66180532499982
133,6,212.86764347499994,166.83334377500006
134,6,207.8506756000001,171.46697732500002
135,6,212.66298812500025,193.93572992500003
136,6,199.07976155000011,183.2892050249999
137,6,198.8704810000002,181.3086159000001
138,6,187.69422189999995,201.64113482500002
139,6,192.1791768000001,218.6881765749999
140,6,191.80438822500008,203.314876025
141,6,189.43460899999985,207.42817967500005
142,6,171.3678586000001,191.91668877499984
143,6,177.9071009,181.84747989999994
144,6,178.72125570000006,189.47857772499992
145,7,186.47687822500004,156.361533975
146,7,176.2089274750001,154.13779614999999
147,7,178.45060202500002,154.05521312500002
148,7,183.26541537500012,144.7119374
149,7,184.75924632500016,149.17273547499988
150,7,186.76222642500022,157.4828708
151,7,189.0521921750003,149.83891197499997
152,7,201.58150604999997,158.64199579999996
153,7,213.99156395000023,157.47801675000005
154,7,216.32968607500013,145.6483942000001
155,7,215.1116991250002,151.1481543999999
156,7,210.64564760000007,149.5179971749999
157,7,205.84867244999992,147.26661140000004
158,7,197.62194962500018,158.735993925
159,7,205.30876472500012,173.5998336250001
160,7,210.00658979999997,177.8792603499999
161,7,207.938772475,166.34354067499999
162,7,209.31114282500002,151.818658525
163,7,200.99974950000012,140.70715592500002
164,7,198.83740652499995,159.94390117499995
165,7,211.41774410000002,149.42171004999994
166,7,213.5098153500001,139.2545803750001
167,7,206.57849045000017,161.76320009999995
168,7,203.41617367500004,168.9342187749998
169,8,172.07146427500012,165.557859475
170,8,165.5618909000001,168.90641682500006
171,8,160.60977592500024,173.233260575
172,8,172.74461852500013,174.59950725000002
173,8,169.17663725000006,168.63286450000004
174,8,169.94625517500003,178.08731695
175,8,182.21686450000013,167.93943839999997
176,8,184.12264145,170.29867537499996
177,8,190.11107627500004,167.01407827499992
178,8,191.91088829999995,178.43959984999998
179,8,204.60662042500002,175.60526902499998
180,8,200.37909797500018,171.092403775
181,8,202.24211202500032,179.29660775000005
182,8,186.4169671000002,187.3264384499998
183,8,176.98440507499987,190.31326775000002
184,8,173.74482059999997,186.86807270000003
185,8,179.15359432499986,190.1744211749999
186,8,179.0742703750002,195.66036230000014
187,8,171.85692422499994,193.611054225
188,8,170.42610672500007,194.6409710499999
189,8,167.30502859999996,184.33092697499995
190,8,163.17482324999997,183.0034227
191,8,161.2008604,186.300246525
192,8,176.25995569999998,175.34960559999996
193,9,126.71021740000005,142.3715448499999
194,9,128.88607607500012,138.953562025
195,9,141.91337917500013,140.8870447999999
196,9,135.29550740000002,139.54316154999992
197,9,138.30047849999994,134.36996714999995
198,9,149.03351097500018,122.52797045000005
199,9,144.19659382500018,124.20810524999992
200,9,146.24085882499992,127.11394847499997
201,9,120.0331695000001,129.83155717500003
202,9,144.90760970000002,131.88910870000007
203,9,155.18667910000013,152.32786470000002
204,9,154.51886037500014,151.03698885
205,9,169.46717302500002,140.55788019999991
206,9,178.27367255000007,139.670150675
207,9,185.87110125000027,144.56502380000003
208,9,181.02883837499996,124.042358125
209,9,167.8435812500001,134.65308855000018
210,9,170.05750490000008,126.04001567499995
211,9,155.71582552500004,147.47059835
212,9,152.07152287500008,138.8672407250001
213,9,160.94255680000003,133.82601352499984
214,9,158.91645697500002,134.79342272499983
215,9,169.02017840000002,135.42848254999998
216,9,164.4674398250002,140.42755447499985
217,10,148.69843515000002,180.772056375
218,10,148.50445212500009,176.16182010000006
219,10,149.77753790000003,170.2019355750001
220,10,151.34512622499997,175.23989225000003
221,10,152.8560390250001,173.32410527499997
222,10,150.51416722500005,168.51680572499995
223,10,158.3663284499999,168.3563223750001
224,10,166.9077857250001,173.61029457499995
225,10,179.20790452500006,170.49789642500005
226,10,184.26499190000015,183.85256577499993
227,10,186.14268367499994,183.11363792499986
228,10,194.73190567500026,184.54709432500013
229,10,183.99530057500021,179.17699974999982
230,10,184.15053160000025,171.6250467999999
231,10,195.76319595000007,175.25963632499995
232,10,187.7214645250001,189.33709509999983
233,10,188.0184231000001,181.79118675
234,10,195.34779057500012,169.1800967999998
235,10,199.25191279999981,161.19743780000007
236,10,213.63725792499997,176.66438757500003
237,10,211.7371996249999,181.65518422499994
238,10,193.01870445000014,184.68261799999993
239,10,203.52937717499998,175.11609467499997
240,10,204.0734457000001,180.58605364999994
241,11,149.30321065,128.64985932499997
242,11,152.5278875250001,127.32693805000008
243,11,143.7006196250001,140.52431779999998
244,11,131.03470975,126.46449812500006
245,11,143.8962104,134.43231332499994
246,11,147.3828771500002,138.2975044250001
247,11,141.43359045,144.49536007499978
248,11,151.8307410000001,153.93106594999983
249,11,137.18241724999993,181.98193294999987
250,11,118.52176389999993,204.3541263749999
251,11,140.53280502499987,217.99049949999994
252,11,154.51494407500016,205.32429350000012
253,11,159.57719210000002,222.81450399999994
254,11,166.44043262499983,211.21985435
255,11,181.92545017500004,217.13938682499997
256,11,183.1701277250001,219.06292959999996
257,11,187.54445285000014,216.6564866500001
258,11,178.8799223500002,198.0752199499999
259,11,172.15508597499985,206.61355397499995
260,11,163.8789925750002,213.27823192499994
261,11,186.9854863500001,212.20150344999985
262,11,185.3888233500001,235.257976525
263,11,192.3654782750002,242.27468864999994
264,11,194.19881390000006,238.17106282499995
265,12,136.8261826500002,140.2769651999999
266,12,146.99175550000018,145.64986162499997
267,12,134.43208685000005,140.37371952499996
268,12,132.06548875000004,146.8330511999999
269,12,137.2119720500001,141.86871439999993
270,12,124.48776072500004,155.9364866
271,12,122.80947209999995,166.4487932249999
272,12,122.28913067500002,174.927441875
273,12,137.15437705000002,166.23598662499992
274,12,131.36925665000012,162.88675234999994
275,12,126.807615225,183.12803379999974
276,12,134.46163697500003,189.20059437500012
277,12,139.82354870000026,181.12039067499998
278,12,157.90936895000004,199.0958751999998
279,12,156.64772802499994,201.7573888999999
280,12,169.5089847000001,181.76437882499988
