day,hour,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,demand_27,demand_28,demand_29,demand_30,demand_31,demand_32,demand_33,demand_34,demand_35,demand_36,demand_37,demand_38,demand_39,demand_40,demand_41,demand_42,demand_43,demand_44,demand_45,demand_46,demand_47,demand_48,demand_49,demand_50,demand_51,demand_52,demand_53,demand_54,demand_55,demand_56,demand_57,demand_58,demand_59,demand_60,demand_61,demand_62,demand_63,demand_64,demand_65,demand_66,demand_67,demand_68,demand_69,demand_70,demand_71,demand_72,demand_73,demand_74,demand_75,demand_76,demand_77,demand_78,demand_79,demand_80,demand_81,demand_82,demand_83,demand_84,demand_85,demand_86,demand_87,demand_88,demand_89,demand_90,demand_91,demand_92,demand_93,demand_94,demand_95,demand_96,demand_97,demand_98,demand_99,demand_100
1,1,1520.109853,1541.0028,1609.397073,1627.858418,1637.242436,1620.76343,1544.717207,1576.716172,1537.481401,1709.116923,1673.267041,1468.288882,1642.948246,1674.260497,1702.880227,1612.15209,1615.353406,1566.466408,1622.338298,1678.471601,1636.146644,1572.708382,1557.136658,1552.648554,1587.468532,1706.557028,1622.594906,1560.805162,1476.80221,1549.792944,1613.373149,1722.292003,1707.435975,1787.920898,1609.852518,1641.105252,1618.244181,1524.816895,1616.601853,1554.873802,1521.148604,1551.184919,1374.284475,1529.824472,1638.835166,1633.347799,1622.740763,1578.168837,1554.683478,1368.186384,1617.652235,1540.823697,1556.83989,1586.083984,1591.475919,1693.760998,1617.631291,1534.926661,1758.064658,1585.800191,1383.002753,1616.218979,1532.868527,1516.742341,1608.026175,1584.244771,1569.484055,1457.663235,1743.031254,1350.799137,1636.546235,1443.164656,1380.916004,1617.625684,1502.72203,1519.238826,1727.965167,1636.951918,1701.667611,1539.511264,1525.288221,1397.473657,1555.252718,1500.452179,1613.501449,1519.111265,1536.863487,1550.082931,1635.873118,1616.082948,1458.591282,1493.249544,1644.396354,1532.670857,1476.637875,1489.280367,1411.282938,1597.131118,1538.113093,1430.974972
1,2,1598.781921,1494.731357,1418.264414,1583.343426,1606.645735,1611.890127,1425.962519,1349.256949,1476.757647,1380.659968,1667.236855,1642.984427,1422.160657,1603.605422,1464.852331,1376.006435,1444.158181,1335.974462,1476.742553,1654.320142,1448.978712,1561.018387,1528.721099,1614.200983,1520.532763,1471.776461,1417.76134,1494.010987,1430.76614,1388.851615,1347.814828,1386.587609,1415.564985,1391.820832,1465.784476,1366.17394,1255.016678,1481.507985,1414.196148,1581.064374,1472.414483,1486.548221,1609.825924,1503.446556,1509.608013,1360.739826,1522.049343,1519.906023,1429.993774,1444.050437,1402.752667,1487.839188,1471.185587,1506.277151,1393.722876,1450.167085,1443.573469,1360.221717,1451.510104,1429.548386,1515.82048,1518.820853,1506.066094,1593.591546,1474.026204,1567.425922,1415.955968,1521.367899,1614.133261,1660.426504,1572.424323,1460.889459,1400.542692,1558.235846,1410.14998,1395.779331,1466.670855,1334.895629,1545.327491,1465.436277,1406.547079,1560.439044,1605.751914,1524.638989,1430.378816,1500.495352,1450.294388,1454.031022,1514.450077,1446.650782,1355.097137,1550.458422,1579.001505,1565.333341,1415.450227,1368.125616,1544.117984,1551.540267,1702.252834,1521.544345
1,3,1431.229198,1497.630302,1455.039605,1568.484988,1481.416927,1590.057994,1400.274734,1527.807724,1529.715093,1434.192878,1443.25745,1384.500115,1583.61563,1364.299552,1422.665804,1486.484673,1550.778636,1490.50974,1470.054059,1645.954438,1593.958526,1335.503354,1342.676752,1378.839859,1542.55395,1404.764539,1588.014605,1391.40586,1589.39469,1332.191936,1424.23605,1596.717136,1394.327724,1590.080537,1402.713032,1480.532421,1434.878227,1341.136699,1518.310147,1409.900852,1503.401134,1481.263009,1455.758489,1462.513207,1299.846385,1335.809276,1466.252337,1499.609741,1455.803109,1447.206332,1624.515121,1542.83214,1524.772144,1420.002042,1559.317799,1450.535346,1485.385501,1471.522949,1351.44549,1390.462381,1378.109924,1307.265404,1378.815415,1469.430882,1422.240987,1543.121073,1526.914904,1457.703098,1490.353866,1435.254912,1506.147717,1541.489007,1455.802598,1406.06192,1453.701251,1598.266284,1478.135494,1513.603887,1398.719899,1377.478758,1455.241178,1490.946218,1460.726251,1555.527335,1530.603819,1509.364811,1525.850231,1416.957174,1559.555985,1501.819512,1538.432403,1400.639561,1451.163918,1522.327949,1551.952728,1536.109707,1313.893611,1414.424946,1509.765342,1501.476588
1,4,1543.280749,1459.49894,1447.223076,1557.778697,1436.154646,1499.163885,1415.009949,1440.000273,1508.743057,1344.081363,1618.034545,1517.178192,1562.216384,1661.311005,1533.807473,1614.070746,1381.213619,1438.622689,1439.166696,1525.021072,1551.982924,1605.466419,1694.208221,1548.519883,1469.117044,1470.257984,1548.876392,1508.251048,1478.484293,1479.901324,1512.326114,1500.206921,1462.008456,1531.212873,1478.770711,1570.192922,1473.369594,1500.020408,1427.088214,1457.813282,1507.108513,1535.049957,1405.073356,1585.824153,1492.552636,1549.426277,1487.21358,1530.407261,1529.698329,1557.16537,1573.919965,1470.714736,1539.863695,1589.890638,1482.027443,1518.116862,1465.822598,1472.10117,1504.284681,1534.377084,1542.490925,1367.354538,1395.04111,1492.856848,1427.698466,1470.358523,1540.686061,1496.510616,1461.551926,1432.541241,1489.004625,1555.813722,1592.874511,1379.786577,1377.054022,1570.374709,1505.057979,1444.681972,1519.392995,1468.354877,1392.384109,1472.403422,1599.758422,1533.868015,1507.572247,1539.701562,1485.33337,1437.695563,1486.490787,1531.601302,1575.339925,1430.258203,1566.547019,1382.069204,1477.054718,1552.42607,1550.53643,1498.199063,1379.206437,1539.599826
1,5,1540.46236,1586.580168,1647.075682,1547.619085,1666.20977,1688.995682,1687.451377,1684.405779,1589.239183,1593.305488,1587.015418,1590.238181,1543.9048,1677.591745,1572.002961,1587.610475,1601.187249,1485.580266,1699.958215,1687.23485,1806.506218,1642.587228,1708.059815,1613.126274,1651.159493,1620.778494,1830.150163,1557.935612,1607.326256,1729.783921,1668.662766,1691.249529,1527.728478,1763.292961,1700.454885,1655.69827,1687.153434,1742.990701,1676.023624,1547.722635,1719.36963,1636.857297,1512.685098,1636.899439,1564.434264,1755.855497,1682.444132,1641.771906,1690.435144,1700.391982,1648.981123,1790.158186,1603.563892,1655.927796,1634.592044,1702.328534,1818.407108,1600.116853,1802.509882,1580.018926,1651.551065,1637.092623,1692.867634,1665.060064,1664.332502,1667.092298,1588.193951,1419.191431,1496.246433,1594.497483,1621.867174,1673.065089,1589.085726,1712.461661,1809.344821,1705.109526,1581.773051,1766.929372,1594.07158,1553.260386,1679.304054,1602.195443,1730.713526,1740.487685,1535.794372,1501.156127,1751.549745,1646.369776,1753.04427,1590.441372,1654.500142,1662.05551,1514.183995,1738.636749,1513.855687,1700.430742,1553.809974,1749.200581,1650.908594,1568.067079
1,6,1762.231385,1815.282973,1723.117894,1788.942772,1777.302166,1728.485263,1908.045086,1690.373905,1877.146404,1854.063853,1716.72405,1767.657482,1866.168928,1817.50111,1949.724399,1915.924553,1940.137703,1838.033375,2001.107498,1952.40806,1774.788957,1737.098732,2003.226734,1878.457547,1791.29435,1891.44741,1965.037254,1893.642722,1889.587522,1901.523911,1914.402682,1883.385328,1839.144786,1778.200156,1895.891828,1948.526832,1998.093781,1949.584707,1889.377187,1803.961513,1880.691541,1749.302335,1945.924556,1851.127211,1730.342058,1868.23481,1802.833564,1666.48972,2013.740151,1745.057534,1991.227829,1918.110582,1648.574798,1840.55778,1835.110676,1939.248265,1935.531708,1792.647381,1852.425892,1673.824916,1882.59809,1978.550291,1680.275362,1779.412558,1872.043323,1520.975639,1852.358523,1757.150212,1952.846147,1893.181736,1838.014475,1653.521698,1848.060946,2062.617019,1862.884237,1892.847985,1914.357894,1620.857623,1796.037648,1695.300376,1710.148413,1833.160652,1932.704579,1845.559272,1856.39885,1896.098385,1911.073426,2141.833381,1854.70416,2013.423505,1753.172227,2013.748432,1738.676581,1835.826072,1863.822523,1972.511849,1833.652352,1856.665246,1772.016775,1862.599513
1,7,1840.518744,2157.138069,2051.652087,2101.019281,2064.736382,1861.441011,1853.666404,2216.925696,2242.65993,2060.636825,2185.475358,2052.443193,2010.606532,2029.5514,2154.30941,2030.091723,1962.556005,1932.786269,1863.788087,2115.588198,2167.365828,2030.713532,2022.69456,2232.071296,1943.587906,2158.779832,2117.582963,2100.878508,2038.97809,1995.552534,1991.412837,2125.381715,2099.903917,1880.070366,2006.273257,2158.53114,2307.114121,2026.364612,2021.64534,2158.300148,2031.647384,1882.014708,1782.994667,2085.586147,2214.42225,2014.636634,2087.549649,1982.718809,1962.176538,1907.530557,2014.349522,1924.901179,2006.876257,2135.067143,1836.756856,2065.896934,2149.987001,1997.111871,1988.211007,1956.16232,2182.628118,1970.317869,2118.972366,1890.638931,1970.710555,2099.270844,1980.186042,2067.443879,2027.03711,1938.959764,1987.929745,2329.389561,2161.07426,1921.182557,2172.151733,1910.717262,2021.953577,2025.775849,1996.13734,2002.364577,2015.031858,2203.003809,2024.132947,1820.950279,1888.435948,2108.738772,1981.660824,1996.670007,1993.266916,1904.282531,1871.015307,2198.386815,1992.495103,2076.76013,1964.264794,1975.046617,2038.316363,2090.525958,2158.443033,1956.448784
1,8,2094.87947,2065.89103,2290.422634,2024.425662,2059.938227,2076.250041,2310.055809,2378.689027,2193.442792,1893.700049,2059.838558,1965.053717,2029.317308,1983.410001,2233.225619,2183.492914,2210.337571,2204.048845,2019.919992,2075.776305,1971.376453,2175.414003,2107.721222,2249.847532,2118.170075,2074.482419,2197.48675,2025.334459,2351.519142,1955.108736,2147.35874,2184.552188,2333.016481,2023.54694,2064.079089,2414.308034,2000.991931,2103.852053,2212.110092,2172.192072,2245.296136,2086.702814,2233.795526,2103.922116,2169.464694,2118.109685,2217.803697,2255.305601,2097.531273,1996.327714,2182.655283,2210.318293,2095.801974,2189.480407,2268.484877,2137.525438,2047.769997,2102.334724,2092.411669,2006.49841,2051.516649,2066.34697,1999.654257,2211.972973,2076.936322,2032.256998,2036.306906,2317.026617,2200.444083,2042.811687,2115.013611,2058.713678,2055.375999,2151.384715,2129.760852,2151.252116,2102.300493,2020.875692,2175.136187,2159.955191,1970.528297,2200.573963,2113.78825,2086.615094,2170.307587,2132.302604,2234.269304,2046.84712,2069.376102,2121.342935,1902.746874,1929.511435,2084.018784,2176.832291,2278.444504,2044.382493,2293.774904,2002.95954,2177.950723,2134.608
1,9,2041.819802,2185.766947,2359.364169,2211.80285,2081.442432,2301.430951,2199.84304,2236.443946,2067.579314,2167.075778,2102.761099,1929.248105,2222.19526,2070.204963,2166.649637,2263.529129,2202.22861,2062.204455,2343.270708,2198.531063,2247.764371,2327.419717,2180.815463,2279.621443,2008.075335,2165.52274,2126.223528,2214.467442,2169.102212,2181.481638,2326.858133,2056.679303,2231.746897,2252.473075,2183.006369,1986.292328,2213.143589,2272.750216,2268.64013,2233.695594,2127.211403,2113.118298,2137.366459,2200.18203,2151.984572,2314.414991,2255.744257,2196.656705,2228.975893,2250.719394,2149.87109,2172.443952,2325.256399,2455.620332,2134.161264,2140.283643,2364.449309,2196.071213,2291.033894,2383.988451,2204.357746,2316.22847,2147.668845,2184.444136,2172.278577,2173.58307,2337.000274,2270.955211,2360.887509,2213.376426,2244.353328,2090.864236,2162.660104,2065.864043,2319.964506,2105.904439,2111.807129,2524.61931,2209.34618,2175.751637,2182.818222,2077.976433,2122.582643,2119.976006,2324.743459,2256.960026,2192.353038,2266.569829,2101.4345,2157.925394,2417.29152,2391.696425,2216.237411,2223.954589,2321.595189,2461.333798,2153.915391,2300.735245,2240.595399,2137.230205
1,10,2482.038066,2283.430231,2210.543158,2209.368605,2454.265048,2056.913806,2323.255628,2278.893489,2197.368496,2443.926389,2247.891969,2261.74354,2086.021467,2483.819212,2172.381554,2042.744159,2163.482265,2334.052678,2435.194956,2328.231863,2246.726449,2201.594456,2317.590784,2189.473638,2242.825326,2205.677779,2127.568544,2208.684131,2502.799996,2522.973677,2396.513589,2349.963712,2433.12052,2316.857171,2259.13228,2181.984733,2177.795357,2309.167694,2247.533863,2267.220945,2402.272624,2247.218532,2376.511435,2405.048701,2367.909636,2317.409207,2231.860338,2329.235671,2284.121114,2168.86061,2357.193601,1990.769123,2497.420101,2124.100678,2399.874503,2273.941133,2137.077896,2290.37991,2278.559335,2309.713952,2291.573851,2219.233129,2324.410407,2032.502136,2395.731476,2147.609186,2106.140023,2363.454676,2378.013042,2247.964458,2444.805061,2425.316703,2197.171471,2373.77739,2258.18181,2165.401858,2129.653658,2039.492229,2265.5897,2267.888377,2202.186095,2377.141645,2206.859022,2192.999736,2167.911184,2373.817327,2311.464081,2170.987273,2159.777334,2204.305192,2464.231988,2318.277084,2236.237125,2222.237313,2341.303957,2223.97081,2207.583386,2090.840932,2506.406323,2167.882984
1,11,2452.610747,2229.985881,2253.477821,2301.362722,2322.932075,2416.533722,2373.885563,2319.462845,2190.618841,2369.498896,2514.828348,2188.267978,2220.53461,2339.91337,2427.876955,2280.876969,2213.461371,2301.676785,1965.592731,2234.179473,2329.83228,2273.859356,2271.496813,2449.068833,2268.00757,2375.548938,2463.403459,2270.863001,2273.001067,2122.719088,2252.812221,2263.425576,2207.357138,2352.740795,2134.460647,2267.283347,2210.639522,2208.286482,2345.606555,2289.364748,2342.770745,2445.080296,2257.148886,2267.569678,2424.24215,2249.469657,2304.460841,2440.207565,2337.552793,2186.830981,2374.492254,2326.512757,2235.046669,2211.699808,2217.195179,2221.392815,2298.462908,2283.789361,2275.674744,2399.041965,2310.838548,2186.047769,2430.967139,2290.797515,2360.312534,2416.753589,2299.286996,2313.271914,2497.053049,2400.252345,2384.597098,2311.67686,2137.259847,2082.785311,2207.562561,2466.658652,2237.025579,2125.02793,2329.422357,2130.270918,2204.252063,2267.941462,2569.01328,2271.921423,2262.63935,2169.731648,2316.883597,2169.247522,2307.195036,2187.437668,2304.855997,2372.788088,2477.584942,2417.556861,2216.253693,2162.912165,2517.000584,2110.192885,2408.831987,2418.357751
