day,hour,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,demand_27,demand_28,demand_29,demand_30,demand_31,demand_32,demand_33,demand_34,demand_35,demand_36,demand_37,demand_38,demand_39,demand_40,demand_41,demand_42,demand_43,demand_44,demand_45,demand_46,demand_47,demand_48,demand_49,demand_50,demand_51,demand_52,demand_53,demand_54,demand_55,demand_56,demand_57,demand_58,demand_59,demand_60,demand_61,demand_62,demand_63,demand_64,demand_65,demand_66,demand_67,demand_68,demand_69,demand_70,demand_71,demand_72,demand_73,demand_74,demand_75,demand_76,demand_77,demand_78,demand_79,demand_80,demand_81,demand_82,demand_83,demand_84,demand_85,demand_86,demand_87,demand_88,demand_89,demand_90,demand_91,demand_92,demand_93,demand_94,demand_95,demand_96,demand_97,demand_98,demand_99,demand_100
1,1,1638.603871,1532.257372,1635.340349,1636.953274,1486.48272,1609.518614,1437.869682,1666.532886,1421.236567,1567.868985,1568.352363,1437.622173,1503.591902,1413.847173,1507.374202,1588.601837,1690.162574,1464.24005,1538.062056,1492.592605,1428.618511,1513.047261,1524.232872,1580.295676,1562.556209,1546.824783,1615.107934,1573.483194,1616.326625,1415.931059,1542.726542,1534.24799,1503.822463,1559.061716,1625.993194,1502.270261,1477.583938,1514.208121,1406.221251,1537.420017,1539.042485,1647.914248,1615.84844,1636.540124,1453.310988,1575.901019,1603.909559,1535.658626,1543.360848,1537.527887,1542.197177,1723.540189,1665.245848,1504.600151,1469.711537,1539.019079,1605.383438,1517.957881,1460.159612,1498.473593,1492.776164,1647.814957,1478.16492,1457.863632,1620.089727,1475.72084,1489.340393,1415.016414,1546.744912,1496.143559,1540.365776,1558.904975,1617.542816,1517.19215,1517.959038,1619.53164,1653.536579,1574.827705,1585.773678,1467.739261,1518.291546,1522.128676,1493.604259,1635.255206,1556.738004,1419.155558,1612.522214,1512.998553,1614.019385,1630.848147,1644.575194,1600.793112,1399.495563,1566.974459,1447.34115,1415.406618,1601.315364,1481.986776,1482.146849,1508.308496
1,2,1511.218324,1383.073718,1552.419448,1446.063683,1393.57368,1417.160458,1503.976795,1549.481332,1389.123779,1612.213189,1489.558891,1352.754288,1468.158093,1343.808698,1437.976994,1575.26559,1499.876995,1328.62594,1447.178617,1517.817604,1532.357723,1533.734675,1357.822528,1564.267452,1406.796233,1411.668445,1528.611404,1520.268642,1527.613558,1416.496121,1342.389597,1509.596615,1446.585891,1430.877052,1566.250753,1422.565496,1419.331671,1363.377528,1427.438747,1404.079754,1491.179268,1471.161856,1711.690515,1562.477422,1463.202497,1575.020768,1451.836208,1416.782656,1571.106257,1580.287282,1404.806981,1627.223025,1468.538397,1435.192522,1441.386966,1593.207191,1499.5001,1524.28859,1492.809553,1463.526278,1266.217919,1510.857792,1380.271867,1377.235375,1527.606128,1521.396291,1456.553046,1408.654312,1477.951897,1462.26242,1497.681221,1454.108851,1488.771549,1517.241053,1384.350593,1460.300526,1621.475045,1539.013711,1420.568673,1516.900764,1366.576136,1551.856231,1447.970717,1474.809385,1424.394863,1398.082239,1557.883451,1588.747445,1537.021894,1638.841385,1545.513333,1489.840281,1461.498169,1466.742903,1295.613557,1475.406472,1524.940235,1511.918088,1424.240617,1457.805753
1,3,1473.933495,1462.927462,1487.678478,1406.6051,1371.023942,1342.794675,1589.125332,1595.809669,1491.880793,1407.26547,1580.55665,1386.542319,1562.173004,1434.26155,1470.861672,1542.836255,1448.41329,1322.153279,1399.092215,1539.384078,1505.261975,1473.214941,1495.014373,1560.509773,1541.87009,1414.140057,1423.054719,1574.08427,1497.770185,1401.811609,1346.915952,1480.299802,1501.027283,1474.862232,1659.357281,1346.996976,1402.895635,1441.176627,1404.096219,1506.311627,1463.255539,1520.939702,1579.376071,1392.363264,1389.928391,1640.893156,1618.413022,1401.420488,1560.013038,1455.100412,1269.868954,1525.311501,1324.804282,1418.369503,1327.626008,1546.748319,1438.881574,1558.693511,1580.16306,1510.318256,1449.226302,1502.664621,1392.819392,1385.264095,1480.601434,1603.069109,1544.82662,1366.157044,1502.586137,1458.07103,1506.10763,1454.857705,1319.801514,1462.11341,1433.229925,1534.253351,1555.315889,1515.335345,1406.665445,1472.89904,1462.40652,1426.102831,1511.105169,1463.462145,1635.574457,1429.821442,1420.62411,1508.095005,1505.738854,1404.435012,1592.980763,1485.179679,1416.262521,1435.299419,1396.514226,1385.729449,1525.584142,1504.112936,1526.745658,1470.159342
1,4,1548.925056,1511.795279,1611.943974,1518.624854,1474.938655,1388.918846,1552.618592,1503.718748,1479.611807,1325.767296,1583.062342,1475.87834,1611.664043,1571.517366,1542.293135,1567.152171,1568.213423,1445.248534,1492.817251,1477.84853,1469.872553,1579.849887,1401.206883,1585.9294,1560.372993,1517.801011,1564.718122,1502.452522,1449.455528,1529.374063,1442.245486,1624.861461,1611.263326,1494.5212,1676.948651,1351.964146,1414.780688,1515.546327,1435.523315,1602.073209,1421.373399,1680.830672,1522.358568,1479.268342,1461.300158,1498.840486,1576.297702,1461.141951,1629.402814,1456.677414,1472.973478,1671.256654,1375.072755,1501.2697,1432.845308,1551.361835,1589.538317,1593.703701,1509.212048,1489.982392,1450.658063,1517.588248,1593.148888,1549.809279,1506.66197,1578.426985,1516.725668,1429.300979,1527.550364,1598.998002,1522.001532,1555.199699,1415.978847,1499.639396,1423.414792,1466.814248,1585.17384,1526.39286,1434.564936,1480.494612,1447.342272,1498.834119,1631.135428,1540.364471,1491.907432,1557.390656,1589.241028,1633.253993,1485.750175,1427.252203,1486.545854,1530.801965,1519.914152,1500.35506,1438.714986,1471.680583,1485.653962,1424.092979,1573.377638,1636.287519
1,5,1642.956585,1671.216054,1707.619178,1654.196381,1640.884308,1742.574424,1629.053798,1634.211457,1610.72086,1458.77376,1699.109678,1588.723409,1719.100005,1609.954142,1645.350109,1524.692087,1677.464779,1624.736677,1673.692354,1556.79147,1639.64129,1658.029471,1562.029653,1641.502018,1594.448455,1685.815689,1596.795158,1598.536757,1673.049226,1650.147776,1487.29491,1716.967234,1766.736463,1766.534407,1514.194908,1632.146904,1593.262997,1665.832191,1459.99486,1667.992156,1848.383074,1683.599736,1640.421886,1725.148565,1576.041401,1605.801856,1637.481601,1508.874275,1785.326912,1626.760573,1535.827664,1788.78089,1785.2307,1635.39747,1517.245658,1750.664393,1689.035592,1777.767909,1575.224508,1688.55205,1671.712741,1791.997801,1669.364253,1671.515417,1612.757031,1832.548025,1510.37947,1734.213944,1606.637526,1861.539351,1765.799542,1467.542309,1593.253937,1569.146021,1669.647505,1510.393599,1825.354971,1686.615363,1581.685435,1661.310795,1539.28881,1629.77277,1565.083167,1609.443195,1723.21847,1603.216696,1763.77397,1680.147548,1641.73522,1653.717272,1641.345873,1681.353117,1684.435607,1651.857801,1580.126827,1584.535422,1542.238509,1710.3372,1548.160009,1877.7675
1,6,1865.969411,1928.543041,1836.603321,1625.095766,1913.586184,1905.22556,1944.946206,1883.363123,1822.520475,1965.841638,1761.402846,1923.509206,1884.032419,1924.894935,1804.753525,1743.439106,1914.738169,1942.348187,1940.401867,1835.565639,1853.424312,1889.072295,1860.956947,1826.887275,1828.166846,1840.966205,1766.299318,1937.935284,1955.770316,2026.033343,1734.739921,1832.850024,1832.070331,1806.015747,1811.41502,1874.357222,1923.70967,1899.20892,1662.639525,1839.856025,1951.660987,1836.576268,1839.079986,1860.837999,1956.009093,1751.926388,1746.531451,1814.503976,1860.895084,1813.729842,1689.530918,1998.416405,1889.490239,1785.460462,1644.008654,1953.512262,1824.937736,1971.236594,1765.997102,1958.385262,1621.631403,2007.718104,1846.899772,1738.289278,1747.112887,1980.961899,1655.614275,1918.24259,1785.785284,1921.664602,2153.760692,1726.452202,1845.248656,1888.318147,1957.545208,1807.887495,1907.967817,1919.296645,1871.241091,1990.014539,1806.235365,1897.572529,1914.031919,1781.308939,2023.488187,1975.406283,1691.546383,1925.653873,1843.185746,1761.715007,1812.773864,1851.339389,2096.112544,1808.190379,1852.971041,1753.449554,1716.753683,2027.877001,1724.070652,1915.679355
1,7,2105.860023,2068.481071,2096.892215,1828.647128,1960.767916,2116.613812,2001.283989,2030.922273,1968.670914,2188.706493,1981.539494,2103.614104,2162.023873,2030.073709,2046.645476,2095.587063,2296.251837,2259.797879,2013.990325,1884.680081,2051.871902,2114.879049,2199.704681,1979.213417,1908.910418,2213.902418,2036.857994,2069.876946,1947.709371,2115.051256,1872.666441,1998.135401,2124.425299,2016.684975,1973.163339,2205.338687,2043.846346,1979.893157,1952.090801,1989.678612,2012.788963,2044.642946,2176.484658,2097.027802,1894.217556,2052.164348,1943.815706,1994.144709,2149.342314,2000.380091,2136.132857,2236.765903,2095.222417,1895.869442,1997.079064,1922.931927,1974.691714,2082.898212,2152.678517,2174.180935,1917.193506,2048.201454,1984.379612,1978.03736,1953.561196,2187.128977,1942.791364,2071.923975,2050.40194,1931.194105,2133.895547,1932.234676,2101.563058,2048.948409,2185.958502,1964.038245,2101.894697,2109.957501,2235.854593,2009.202747,1941.00466,2188.145576,2056.363841,2093.168582,2150.130985,2113.507235,2001.45552,1965.096447,2151.896714,2032.689675,2094.173655,2258.370154,2197.531562,2096.925344,1983.95285,1905.682617,1882.21298,2187.453434,2003.409363,2230.965972
1,8,2328.470713,2184.606304,2063.186045,2129.999108,1927.663029,2247.970518,2041.459452,2097.406756,2002.32002,2255.004137,2089.661015,2088.333431,2161.225375,2080.060509,2013.697987,2219.1175,2179.405121,2292.072537,2002.088867,2078.340865,2129.699457,2232.017381,2025.646761,1947.388725,2219.795341,2220.440947,2091.755119,2166.177533,2193.346326,2237.933862,1955.582014,2084.971748,2313.300313,2164.301147,1993.70649,2258.199379,2191.720102,2098.286368,2111.364105,2178.533416,2123.219583,2081.303573,2204.221493,2118.360647,2144.375093,2266.443086,2106.701673,2187.300032,2138.802542,2146.978753,2199.25744,2184.057992,2299.232164,2217.562663,2182.623063,1958.851642,2139.729502,2031.375771,1986.222341,2240.679211,2069.537794,2106.051144,2173.37181,2324.404029,2074.677986,2077.000199,1955.590845,2087.984918,2012.673098,2111.149123,2273.784581,2103.167513,2285.289832,2100.7657,2136.602519,2082.746089,2168.084858,2210.805096,2421.832561,2308.555693,2251.411431,2262.848466,2277.648842,2285.063552,2219.055431,2221.105167,2149.2457,2159.363955,2196.378304,2270.507843,2133.68384,2614.129732,2058.124887,2177.301495,2139.954554,1993.104043,1986.064997,1918.515238,2102.472309,2204.543692
1,9,2449.571749,2267.318046,2254.054876,2330.212442,2002.260582,2195.239412,2129.284275,2031.11525,2081.534984,2256.068699,2013.190091,2213.545701,2320.705876,2178.648514,2238.883244,2156.388702,2195.596055,2119.063823,2376.127146,2264.627906,2251.202643,2141.563819,2305.084856,2218.579621,2258.417768,2133.838904,2021.250721,2072.677052,2352.075531,2200.836671,1999.327382,2254.976595,2347.145771,2445.89207,2236.691313,2199.469461,2335.106815,2132.831473,2088.873967,2266.391372,2116.564625,2097.552799,2155.300055,2216.723096,2195.837062,2313.536058,2100.767076,2319.076776,2247.320117,2105.480202,2195.906064,2392.804036,2116.76487,2210.289611,2236.864286,2060.043757,2187.33004,2032.918768,2358.786318,2393.191494,2309.188227,2203.294965,2232.753344,2327.412928,2293.591905,2174.296289,2020.476771,2154.830704,2361.842452,2145.469795,2185.651988,2226.052005,2374.480617,2111.082943,2135.773351,2040.053792,2218.036026,2174.372111,2227.850711,2196.397606,2333.012519,2306.976497,2311.768077,2168.64895,2210.110604,2306.356401,2132.275329,2303.437743,2489.488431,2194.820739,2142.646695,2362.147581,2266.60029,2159.291564,2153.802252,2030.681951,2110.42792,2039.626962,2194.833145,2057.594218
1,10,2237.770284,2091.854881,2311.307904,2382.716477,2142.439159,2303.486099,2138.783318,2237.663154,2388.479036,2243.614969,2272.078031,2229.584481,2194.186046,2246.565166,2350.654481,2289.00773,2299.98246,2002.07651,2387.18696,2349.822215,2303.636372,2390.809139,2235.47742,2315.945574,2264.501847,2355.766021,2053.633845,2278.212165,2212.392152,2243.49928,2157.915649,2402.947854,2275.099598,2434.434034,2373.452989,2437.500054,2267.679433,2164.917165,2258.715159,2462.462581,2211.834406,2193.455597,2199.017256,2267.631145,2289.715722,2237.991096,2235.593768,2405.424003,2334.294972,2224.026602,2125.11171,2518.196439,2247.709932,2129.176486,2218.713965,2437.793633,2346.30197,2438.584573,2346.774413,2415.094988,2519.202431,2443.070138,2184.594068,2163.144381,2337.964644,2421.20981,2175.708656,2269.54258,2014.972505,2028.762208,2031.706073,2269.219095,2381.908727,2194.02831,2250.376698,2273.043383,2049.16242,2487.236585,2282.286147,2248.934906,2315.939558,2437.540444,2203.390107,2208.892635,2337.324332,2160.174146,2094.272644,2411.823715,2404.912144,2188.694188,2188.241946,2548.42147,2365.997223,2065.724943,2089.209363,2350.033503,2346.563065,2114.431915,2332.499421,2180.394978
