hour,day,reserve_up_MW,reserve_down_MW
1,1,168.26338965,153.48216324999987
2,1,178.96947500000033,151.7791950749999
3,1,179.00615705000007,125.08188299999993
4,1,148.104053325,144.6972431
5,1,134.3337422250002,179.44742665
6,1,148.73865530000018,171.78277180000003
7,1,146.909223375,191.30162954999986
8,1,160.15148700000015,216.99881799999997
9,1,221.46724677500018,200.09506990000003
10,1,205.93546002499997,220.25242680000002
11,1,193.57635849999997,194.6901420749998
12,1,222.1999072999999,228.39730110000008
13,1,238.5551532750004,260.667447525
14,1,201.29638437500014,232.15541647499998
15,1,196.7601336000002,222.40011992499998
16,1,189.06466280000015,215.89222377500005
17,1,161.70710552500003,195.52409440000005
18,1,181.6335928250001,252.83997522499982
19,1,184.085310375,246.99290004999972
20,1,200.44378372499995,243.04691057500003
21,1,223.5281444750001,248.16662380000008
22,1,189.34786942500006,225.45389127499993
23,1,199.4685513,258.98387427499995
24,1,188.68010395000005,217.145192725
25,2,150.5061472750001,124.97135907499998
26,2,149.4385957500001,132.07722529999995
27,2,146.70980175,137.15218294999994
28,2,122.90094629999999,175.07735939999998
29,2,177.79027530000002,126.65162064999997
30,2,177.08073147499994,152.38212902500004
31,2,170.29193582499994,198.7527324749999
32,2,173.25488672500023,212.99480007499994
33,2,193.61525927499997,212.83475114999993
34,2,210.13209257500006,216.4736956499999
35,2,221.19987927500014,225.64719062500012
36,2,221.69938592500003,251.653346575
37,2,235.76028887500055,247.57908957500007
38,2,240.17648997500032,263.61748414999994
39,2,283.9549812249999,243.5146069500001
40,2,296.1836572750002,230.94109760000003
41,2,290.0017397250001,207.39265830000005
42,2,286.2426722,171.28080229999995
43,2,309.8447411500001,192.14236059999996
44,2,252.26997442500004,171.21865387499986
45,2,282.9001837750002,252.07511162499992
46,2,258.97558897500016,252.20821667500007
47,2,211.19551897500014,220.69608972500004
48,2,175.38803797499997,192.5524952
49,3,124.49165595000008,120.8676476
50,3,133.48097985000004,142.44911432500004
51,3,143.04873784999998,174.70612822499987
52,3,128.83787905000005,147.61481457499997
53,3,118.84191515000008,153.33572434999996
54,3,134.54883567500002,156.21901159999982
55,3,157.41740907499997,168.3549864499998
56,3,234.8606756000002,183.04517545
57,3,248.46661377499987,222.80833340000004
58,3,323.2200413500001,217.7866081750001
59,3,345.00727535000004,266.56190792499996
60,3,317.613664975,278.20189112500003
61,3,315.472230775,269.8539671249998
62,3,246.3563118750002,255.6807268749999
63,3,270.8977610000001,274.46820827499994
64,3,302.8384773500001,247.23248604999986
65,3,264.47045725,235.84326345000005
66,3,277.17929165000004,255.49135107500007
67,3,278.98184492500013,247.54708007499988
68,3,283.5085817000001,251.35267484999997
69,3,303.2201693749999,249.44623147499982
70,3,247.24678462500023,238.54798660000003
71,3,226.09091955000025,232.961651975
72,3,265.0497324000002,190.5639497499999
73,4,173.6890237750001,154.804234775
74,4,165.22134729999996,165.84026462499997
75,4,172.75317942500004,147.02038612500002
76,4,127.8775991250001,128.41461184999997
77,4,168.8615747,121.322920225
78,4,145.76086650000002,140.73278004999997
79,4,167.66938094999995,178.684189275
80,4,239.31138545000027,199.96670280000018
81,4,232.70021370000018,338.8170969749999
82,4,254.16434110000046,252.54579257500006
83,4,243.16915210000008,247.73143435
84,4,247.30601532499992,283.7024743999998
85,4,230.95281327499987,278.3317872249999
86,4,246.271568525,237.62491265
87,4,219.03263722499995,250.51737527499995
88,4,226.58271640000015,218.0557411250001
89,4,223.0979087,236.4368806249998
90,4,238.36267950000013,264.8069675500001
91,4,244.43875332500014,245.53366437499983
92,4,316.5303500000001,262.57374965000014
93,4,290.60266437500013,234.84559809999988
94,4,264.8707609500008,246.96074562500002
95,4,224.98693220000007,219.45473802499984
96,4,171.33794937499994,235.88856967499993
97,5,116.00750832500007,188.96588089999997
98,5,147.63663507500016,185.54095912499992
99,5,163.88669902500013,178.29769027499998
100,5,162.4547428250001,168.47489210000003
101,5,193.32265612500035,169.14134152499992
102,5,157.32101792500015,184.64521942499994
103,5,145.614044325,224.94273570000013
104,5,212.84777327500007,232.78805637499994
105,5,213.00126642500007,245.69041294999994
106,5,226.66362439999995,195.54838494999987
107,5,234.6381190249999,273.54785062499974
108,5,250.18231385000007,245.082159925
109,5,263.0517102000001,264.14876197499984
110,5,265.475628325,275.92368692499997
111,5,278.50595510000016,317.55117665
112,5,250.90814079999998,319.3988791249999
113,5,229.17775812500008,286.7523328
114,5,258.26866727500027,294.295088
115,5,287.7455300749999,300.30056547499987
116,5,272.8820871,280.2954565250001
117,5,246.54660084999995,230.99987089999985
118,5,222.55245415,225.0063309500001
119,5,244.17886692500002,235.6401905
120,5,262.02989620000017,228.30156045000004
121,6,160.30882905000004,176.0734739749999
122,6,167.94875022500003,166.19745792499998
123,6,161.93508792500006,162.06049534999985
124,6,140.81114960000002,167.34837267500006
125,6,142.76161177500012,139.72253789999996
126,6,173.2872058750002,177.81229570000005
127,6,199.0730049250001,191.36811095000004
128,6,178.8823133500003,213.48912827499996
129,6,212.94323622499996,242.3560621
130,6,284.03425122500016,258.401024475
131,6,292.8942527250001,251.35253380000012
132,6,291.79635250000024,256.78813977499993
133,6,228.05901597500002,274.9804420999999
134,6,247.83743922500025,299.46309910000014
135,6,236.53900912500018,243.83874620000012
136,6,232.03086962499995,231.10795724999997
137,6,227.32590365000024,226.73456127499986
138,6,230.63988405,273.008608
139,6,250.5342179999999,227.77986787499998
140,6,193.69120737500012,235.65930325
141,6,287.44123585000006,274.70063637499993
142,6,247.972739175,268.8077466249999
143,6,203.68482875000012,228.92498744999978
144,6,228.9629622250004,222.77639919999996
145,7,137.83864015000012,158.4964117
146,7,151.75130960000007,187.47339515000004
147,7,119.13740445000003,154.442277025
148,7,148.30875627500026,172.04284577500007
149,7,152.24022977500022,182.86289864999992
150,7,175.60240765000015,155.90224795
151,7,195.4620308000001,215.940421275
152,7,201.69091877499997,215.1634449249998
153,7,163.31621734999993,161.7524408499999
154,7,230.1745810000001,273.21969229999996
155,7,230.009851525,279.0069193000001
156,7,226.10151605000016,236.1470020999998
157,7,208.02755240000008,240.01812827500007
158,7,231.78521472500037,234.04953525000013
159,7,205.376908825,222.11023512499992
160,7,229.00228145000034,213.79269770000002
161,7,173.2325674000001,201.26335947500002
162,7,185.82002070000007,252.3844314750001
163,7,242.6081634000002,243.80707154999996
164,7,256.2764211000001,258.57583945
165,7,236.416765075,256.13167324999984
166,7,248.38192037500005,228.70486364999994
167,7,216.92220400000028,207.09986207499998
168,7,202.93618785000018,195.8008431749999
169,8,129.76174507500005,127.15912825000002
170,8,138.022386225,108.46134602500007
171,8,118.57331335000005,126.46872469999998
172,8,117.49023905000001,137.54574004999995
173,8,106.32692427499995,141.58851709999988
174,8,128.43017599999996,149.39244462499988
175,8,164.96267982500007,161.8316138999999
176,8,171.75637880000016,186.0946677749999
177,8,204.65588912500021,242.9695194999999
178,8,211.00756440000018,246.07424512499983
179,8,251.05778335000002,291.58671764999985
180,8,259.39229177500044,254.27691635000002
181,8,211.1839447000001,278.3532881750001
182,8,250.50911732500072,238.30557182500002
183,8,313.24684975,195.33708250000007
184,8,294.25250170000044,236.5316681499999
185,8,274.61880047500006,200.2421878749999
186,8,259.8538216750004,195.0591620250001
187,8,187.65091564999983,191.56150085000013
188,8,217.67079022499993,298.3973975749998
189,8,198.09164915000014,275.55946477500004
190,8,183.12202242500024,236.09712439999996
191,8,186.48287232500002,223.37310509999992
192,8,194.13907719999997,192.70687424999988
193,9,142.43139957500014,155.27285074999995
194,9,124.19072717499995,147.89011629999987
195,9,119.19169529999999,140.88151489999996
196,9,160.23404865,140.6809178
197,9,171.15658995000007,140.08792725000004
198,9,175.18462819999996,163.76496280000003
199,9,198.43932197500004,202.52722897500018
200,9,213.58979982500003,265.32228300000014
201,9,268.4476492000001,238.98495284999984
202,9,296.8074136000005,236.81545067499997
203,9,243.16771470000023,209.29059842500016
204,9,214.3735488750001,219.95708572500007
205,9,251.6109356250002,244.1550477999998
206,9,223.20476139999994,239.75555164999992
207,9,226.77417815,224.2310328249999
208,9,247.60078287500022,263.5224630249999
209,9,266.5085056500002,266.038855025
210,9,235.36094775000004,226.12471094999995
211,9,252.8036922500001,277.9890469999999
212,9,239.26667612499998,299.7572220999998
213,9,207.23427040000013,250.89461410000007
214,9,194.25286370000003,223.46629605000004
215,9,215.58550610000003,242.2944038999999
216,9,199.37049964999994,226.1058074999999
217,10,154.07412697500013,163.46183980000006
218,10,133.21896145000017,163.41013307499992
219,10,167.21957547500006,149.3422876249999
220,10,170.38171312500026,143.28132305000005
221,10,153.04259194999992,160.36195715000005
222,10,145.00153572500002,183.169894475
223,10,183.84052417500004,224.24474412499984
224,10,210.2569171250001,256.72352365
225,10,272.76816575,246.73267405000007
226,10,270.63154305000023,196.41282784999996
227,10,245.88303402500017,260.9850564499999
228,10,274.23741450000006,284.6136115749999
229,10,325.403686775,275.43385684999987
230,10,287.49406492500015,237.28898774999982
231,10,350.3654606500001,250.42567602500003
232,10,287.84717932499996,230.3594057749999
233,10,241.40852992500007,224.79341727500005
234,10,236.58693727500014,250.61763274999993
235,10,277.76062782500026,272.2100532249999
236,10,254.68048265000039,250.22177299999993
237,10,204.63084187500027,322.94568479999975
238,10,194.51930130000028,238.77064367499983
239,10,211.256065825,247.81313972499993
240,10,191.85495260000016,238.71487872499995
241,11,158.91830000000022,157.62486304999993
242,11,166.99818957500003,159.70375289999993
243,11,133.57434237500013,194.5086792249998
244,11,146.1789313,166.18320415
245,11,138.09441640000014,181.24088179999995
246,11,151.37228072500017,196.08085784999997
247,11,172.0907183500001,218.06009999999998
248,11,270.27453295,205.6576151999999
249,11,261.36957025000015,248.05825369999974
250,11,223.85703397500015,319.9918136000001
251,11,270.9470668750005,291.77776170000016
252,11,290.92359567500046,327.50939727499986
253,11,240.04971497499986,271.7465231499999
254,11,285.3598929500002,264.689406425
255,11,326.0777143749999,248.94911897499998
256,11,274.06329347500014,262.05954572499996
257,11,281.885886875,276.2065226750001
258,11,261.7437835249999,293.9574676999998
259,11,222.94137637500017,238.53263309999983
260,11,216.37575577500013,253.5130779999996
261,11,226.50761600000004,236.22438764999987
262,11,210.0112826000001,244.926838875
263,11,217.92108334999998,245.29499657499997
264,11,258.09656655000015,188.90083505000004
265,12,144.013696725,135.49576570000005
266,12,161.06149537500013,117.10992045000003
267,12,164.77913845000006,122.43018714999991
268,12,146.81541505000007,140.7341376
269,12,170.4569135750002,148.36280379999997
270,12,184.82679002500015,132.18672519999998
271,12,211.33853842500014,166.5629240249999
272,12,248.42042292499994,219.26586097499995
273,12,291.12957052499996,223.65719439999984
274,12,306.1106076,247.12459582499991
275,12,250.1855695999999,299.558752325
276,12,259.2560776749999,304.4218621249999
277,12,234.5404263000002,313.4973014500001
278,12,289.2235400750002,278.48298874999995
279,12,292.523637925,287.90314902499983
280,12,311.06295027500033,241.17745032500005
281,12,306.47033787500044,285.379684825
282,12,282.01983375000043,301.81383345000006
283,12,299.6014237750003,251.39729850000003
284,12,300.42130565000025,237.22702052500009
285,12,336.7949022500003,229.817849175
286,12,296.6407665000002,225.83782179999986
287,12,229.49529955000014,214.69293084999993
288,12,235.84801107500016,221.96727994999998
289,13,151.26741527500013,181.25174564999992
290,13,150.247619025,145.75035924999995
291,13,149.23386435000015,133.89475040000002
292,13,141.877327225,137.964355125
293,13,157.714241225,155.35457244999998
294,13,174.30400640000016,136.6794152249999
295,13,211.35624607500017,173.10280535
296,13,209.12724590000022,218.75073715000013
297,13,281.65715145,270.6852441749999
298,13,223.26530770000016,250.00377405000006
299,13,260.8268919750001,253.20759892499984
300,13,240.48196550000011,272.4557188
301,13,216.0563363000001,240.84461407499998
302,13,269.7870482000001,260.9623849749998
303,13,263.52652627500015,272.0503102499997
304,13,263.8473777000001,284.825810825
305,13,272.46222947500024,260.462023125
306,13,282.3080366750005,229.58033477499976
307,13,288.0877828749999,253.595460075
308,13,277.849214425,233.15614907499997
309,13,227.27176672500005,254.12013482499987
310,13,262.5833872500002,224.19716749999995
311,13,213.11995685000034,192.719250025
312,13,199.56049710000005,154.41639650000002
313,14,197.5250876000003,151.19192952499998
314,14,187.53259022499995,156.20037782499995
315,14,168.28105455000016,148.41048252499996
316,14,167.46007777500034,161.38681077500001
317,14,183.67562549999997,197.89651064999998
318,14,197.1082299250001,179.7597883749999
319,14,239.26010742500006,221.01784407500008
320,14,212.0734635249999,197.09344252500009
321,14,219.60836810000023,284.42704560000004
322,14,248.33346090000003,232.6546852250001
323,14,300.7008736750002,282.0410945999999
324,14,281.3722435750003,273.6179219999999
325,14,304.88779300000004,253.05201812499996
326,14,332.3721771500003,222.76767965000008
327,14,400.5376375000004,226.44872517500002
328,14,342.62084392500003,251.753024875
329,14,292.0614192500001,204.36204122499987
330,14,239.5442783500003,210.72157125000007
331,14,290.6486189750002,277.755652225
332,14,290.6856890249999,234.14162649999997
333,14,277.5214985250002,226.20513692499998
334,14,238.6029861,207.71305697500003
335,14,211.67222017500006,224.31505009999995
336,14,229.38692542500002,219.26588484999996
337,15,156.6621204500002,137.61484099999993
338,15,135.97284652500008,140.61104152500005
339,15,156.17159147500013,158.89160157499992
340,15,154.78879719999995,163.35713469999996
341,15,172.19535355,124.64143882499994
342,15,163.78012757500005,171.34111289999993
343,15,171.31760595000014,141.607491225
344,15,197.3569967750001,139.13229312500005
345,15,227.13132175000013,191.91497329999987
346,15,242.57922495000008,170.99024717499998
347,15,237.75560620000027,207.43579402499998
348,15,206.05249089999995,186.3076395249999
349,15,241.3711625249999,223.10119297499986
350,15,238.93196999999998,208.65634555000003
351,15,204.75297884999998,212.70031540000008
352,15,216.2890328000001,209.18967137499993
353,15,193.69995205000004,217.62655332499997
354,15,202.50575805000022,261.9781475750001
355,15,220.20332412500005,255.85385282499982
356,15,199.01836097500018,267.3196684999998
357,15,205.62326372500013,245.75853464999983
358,15,191.53599007500017,209.82312134999995
359,15,169.36138705000008,206.4122894
360,15,160.11583745000007,187.39397807500006
361,16,167.01699452500003,149.00500589999996
362,16,148.5872473,157.29755442499993
363,16,160.08648754999996,147.27660715
364,16,140.337179675,148.52856787499996
365,16,160.16377050000025,147.16152922499998
366,16,148.12033182500005,171.98392322500007
367,16,234.53861177500028,209.40557164999979
368,16,185.78499315,262.21841345
369,16,211.23098680000015,296.18798387499976
370,16,249.92906410000012,310.69740695
371,16,294.65339945000017,258.6210262749998
372,16,325.5711348,276.90142824999987
373,16,323.32739915000013,249.6080760500001
374,16,289.4591360750006,249.55472024999986
375,16,251.98089469999994,259.799240325
376,16,232.98800785000006,251.98436502499982
377,16,271.8290056500001,226.31194507499993
378,16,296.8460421999999,268.72168724999983
379,16,332.4708489750001,315.18954832500003
380,16,283.209538575,307.8244535499998
381,16,300.9507991250002,234.95856117499983
382,16,290.7935644250002,248.65565884999995
383,16,256.63911287500014,237.40431865
384,16,252.63521190000017,220.995414575
385,17,184.27438030000002,199.22944794999998
386,17,191.03729762500004,192.17507927499992
387,17,178.71792150000005,185.69655210000002
388,17,141.93324527499993,165.48105417499994
389,17,152.3145080000001,198.07005170000005
390,17,190.44626207500005,228.26977127499987
391,17,219.38255425000017,197.05661324999994
392,17,256.2315052249998,220.79324915000007
393,17,204.28253239999995,250.174073275
394,17,294.4824676750003,282.3008679499999
395,17,280.89882295000024,280.97724119999987
396,17,267.2433571750001,327.594339925
397,17,239.79254220000024,241.7612554499999
398,17,250.98713297500024,245.13627792499986
399,17,290.2086145250002,256.7112090750001
400,17,284.07972695000024,283.6721303249999
401,17,281.1307758500002,269.121728025
402,17,251.30493647499983,295.7917144499999
403,17,283.10328814999997,315.38982869999995
404,17,235.27211007499992,304.0126300249998
405,17,213.51732565000006,295.30321195
406,17,255.26449295000032,256.489874425
407,17,182.62861435000005,246.94301424999992
408,17,186.4267091000001,243.34725419999995
409,18,178.77570587499997,172.34843617500005
410,18,164.2709711500001,160.8721278
411,18,154.22072050000003,139.67041082499998
412,18,133.88480557499994,155.76612814999993
413,18,164.03051877499996,148.41015599999992
414,18,190.35102540000017,201.35485442499998
415,18,240.6397318500001,247.31794500000004
416,18,248.6804387500003,263.5850629499999
417,18,233.21350277499994,296.92165782500007
418,18,254.7479492250003,277.28131247500005
419,18,269.85887297499994,260.4609368999999
420,18,249.8232342,275.5635338750001
421,18,260.5445660249999,233.00256692499994
422,18,318.87372125000024,263.01489534999996
423,18,288.8802166249999,238.34363382499993
424,18,294.9381735000003,230.59005765000006
425,18,332.56121400000035,243.37347805000002
426,18,318.1560431500002,249.13130467499997
427,18,268.91353102500017,238.7379077249999
428,18,298.25030985,274.55615065000006
429,18,286.058305775,294.93851287499984
430,18,213.89158152500016,244.2555894749999
431,18,220.40290095000006,231.486685675
432,18,187.92252342499987,259.0785524499999
433,19,209.31776447499996,181.38471680000006
434,19,177.15121045000006,148.13049724999993
435,19,172.06194375,131.05001954999994
436,19,138.93647220000003,144.9490999499999
437,19,163.68981017500005,127.52526327499999
438,19,133.15848652500017,181.24941967499998
439,19,165.99545834999998,232.4673293999998
440,19,193.92750954999997,249.7354882249998
441,19,192.25028687499994,262.61950792499977
442,19,213.8652541249998,305.69544147499994
443,19,247.25853137500033,287.3117040249999
444,19,257.5563405000003,268.8949860750002
445,19,230.37248710000006,286.9934686250001
446,19,287.73882567500016,275.7816309
447,19,279.30842640000003,290.3592042749999
448,19,302.7095770250004,275.66860715000007
449,19,271.8448379500002,237.25412242500016
450,19,263.87475115000007,257.96640837500007
451,19,309.3906909000001,213.09248172499986
452,19,244.07156267500022,233.35980275
453,19,262.20549477500015,243.09209732499977
454,19,246.05415580000036,277.2474282499999
455,19,237.60723852500035,257.43130654999993
456,19,214.2616256500002,260.6303232749998
457,20,179.5216815,163.6637888999999
458,20,159.14291072500004,197.97564035
459,20,155.04625865000003,198.61064670000002
460,20,154.1925898500001,179.641649375
461,20,125.41870882500001,161.98248764999994
462,20,190.57245095,196.7322915249999
463,20,196.23706989999988,203.428120575
464,20,199.05669967499995,284.07537715
465,20,271.09808967499987,302.61376170000005
466,20,214.70867827499998,281.9715975999999
467,20,243.82253425,288.07053392499995
468,20,245.5251115000002,276.4871414499999
469,20,259.6331791,284.03606012499995
470,20,228.45076755000014,241.23270169999998
471,20,271.2919376,224.0459231249999
472,20,247.45909989999996,219.72251870000014
473,20,194.98323402500017,209.720895
474,20,201.2564842000001,230.42218762500005
475,20,204.1004148,258.4816754499998
476,20,242.4506128750001,252.7164053750001
477,20,273.6276831250004,182.66805479999994
478,20,244.4762423750001,183.21377065000007
479,20,263.46245162499986,138.45968752499988
480,20,226.066102,160.0121806249999
481,21,209.67626817500002,199.64047419999994
482,21,207.27250495000035,173.430360425
483,21,167.94105502500017,187.76027072500005
484,21,167.36278497500024,200.49897330000002
485,21,179.3146275250004,187.40506449999998
486,21,188.18653942500015,212.61959892499996
487,21,196.8430163750002,270.60709662499994
488,21,198.05859909999992,259.34655002499994
489,21,197.82138492500007,308.41330074999985
490,21,235.72439682499999,264.4302881249999
491,21,230.44937200000015,219.25784325000012
492,21,216.488601475,219.27566980000012
493,21,234.42004832499998,234.50827429999998
494,21,224.7059090750002,227.53129552499993
495,21,180.89494110000015,234.43533207499996
496,21,161.87733960000023,246.32530727499983
497,21,172.8751698499999,224.04616829999992
498,21,198.14385545000022,207.99515985
499,21,180.88776355000002,234.6646022499999
500,21,208.55269607500003,202.58499595000004
501,21,209.76433865000018,207.97622095000003
502,21,189.36489945000014,230.04111369999998
503,21,230.59715187500012,252.23139587499986
504,21,262.0087484249999,206.35742422500005
505,22,163.34210732499997,152.6249667999999
506,22,161.54496660000007,161.66154972500001
507,22,147.3911165000001,167.34594629999995
508,22,151.76079282500012,148.1892810499999
509,22,164.97199680000006,132.18944242499992
510,22,165.92699690000018,130.9028167000001
511,22,193.78592172500004,151.064382825
512,22,171.2391683499999,178.81839310000015
513,22,176.3768777499999,190.8710129000001
514,22,178.4515346750001,197.96018297500007
515,22,240.98271055000015,199.43673197500004
516,22,198.0088703500001,181.7509144249999
517,22,214.0885647749999,213.1479978000001
518,22,234.15236534999997,193.25921202499998
519,22,270.4310248999999,191.27879084999984
520,22,245.5208990000002,259.27836612500005
521,22,241.16848330000008,273.70385497499984
522,22,214.74566765000003,253.2813359000001
523,22,227.19158492499986,205.40523870000004
524,22,235.3867615500001,229.0105931249998
525,22,280.6171681,184.27591504999992
526,22,252.19171395000012,182.47648879999983
527,22,216.7896753500001,186.1151678999999
528,22,190.7828339,149.02845100000005
529,23,206.46417889999998,133.66539247499995
530,23,199.90846117500033,142.73438322500002
531,23,171.38478405000006,158.64301627499995
532,23,201.305925425,148.15596444999994
533,23,201.23756060000014,192.55968675000003
534,23,188.3926906000002,195.8731593249999
535,23,268.04680312500017,231.76631627500007
536,23,218.64380125000025,297.3441645249999
537,23,320.6817731750001,290.3272496249999
538,23,282.86421140000016,300.9802525500001
539,23,281.0047503000001,325.6158050249999
540,23,346.5875958749999,269.1625742499999
541,23,308.53710785000044,235.73242410000006
542,23,305.1328199750002,245.64761007499993
543,23,273.16630687500003,302.5009167749999
544,23,293.14122,287.688978575
545,23,237.32060230000025,281.5146820500002
546,23,218.30153830000012,285.1535116249999
547,23,275.5135453750001,343.5710883249998
548,23,282.7411655000001,257.1592735500001
549,23,267.98485122499983,310.9687765750001
550,23,267.3168190500003,293.99231355
551,23,233.95072232500019,234.57866397499998
552,23,232.1905218750004,229.37477507499995
553,24,129.9580876,157.01295167500007
554,24,128.7842534,153.2786748
555,24,138.9164853750001,176.0224983999999
556,24,150.34885815,184.34859132500003
557,24,135.28396522500006,151.18235905000006
558,24,157.2460344250004,184.19057402499993
559,24,204.95231827499998,179.29299385000007
560,24,224.86473362500024,202.26122239999978
561,24,244.3034310000001,265.421041625
562,24,299.43743005000005,202.7157578500001
563,24,293.645284375,229.92745467499984
564,24,280.1999082000002,230.81057264999987
565,24,272.9331566250001,220.58716207500004
566,24,250.62224799999996,188.75967487499997
567,24,278.829423475,267.7224442749999
568,24,246.86612320000017,215.37396545000007
569,24,214.40485454999998,248.97588377499991
570,24,213.14786302499982,222.87092994999995
571,24,210.24373545,210.26763334999993
572,24,210.0664243500001,222.26243092500005
573,24,248.34661540000008,224.86844575000012
574,24,248.8318603750002,222.7951995250001
575,24,247.00050142500018,195.474991025
576,24,242.1352645250002,183.04175947499994
577,25,132.58828375000002,150.98136499999998
578,25,123.57000605000009,142.753533875
579,25,135.2151931,130.52324822499997
580,25,134.61391070000008,138.08805545000007
581,25,145.20017340000004,206.91671602500003
582,25,208.6479041500001,156.280435575
583,25,246.63415750000001,178.05834004999994
584,25,260.10334880000016,197.89923117499993
585,25,317.4346229249998,245.74196540000008
586,25,320.32558825000024,297.86412329999996
587,25,257.01580650000005,321.086257325
588,25,281.23167940000013,304.2932365749997
589,25,247.94205397500008,248.8978906499998
590,25,261.1628198250001,261.3512280750001
591,25,242.71122070000007,258.5708769999998
592,25,271.02491957500007,217.2207145249999
593,25,274.8710094500002,228.59943880000014
594,25,315.203465275,223.73309717500013
595,25,242.67403105000008,238.63991774999982
596,25,299.3363211750001,278.22735192500016
597,25,239.3820154000002,290.86213287499993
598,25,207.3895214000002,248.6038324250001
