model_type,solution_id,configuration,day,storage_reserve_down_uc_MWh,E_slack_SOE_final_MWh,SOE_0_MWh,E_thermal_production_MWh,E_production_cost,required_reserve_down_uc_MWh,avg_marginal_reserve_down_price_uc_MU_MWh,E_redispatch_cost,ELGEN_cost,slack_reserve_up_uc_MWh,reserve_cost_uc,E_avg_marginal_energy_price_MU_MWh,E_input_RES_production_MWh,EOV,avg_marginal_reserve_up_price_uc_MU_MWh,avg_marginal_energy_price_uc_MU_MWh,required_reserve_up_uc_MWh,slack_reserve_down_cost_uc,E_slack_SOE_final_cost,ECUR,E_start_cost,reserve_up_uc_MWh,input_load_uc_MWh,E_storage_discharge_MWh,E_storage_charge_MWh,E_thermal_reserve_up_activation_MWh,thermal_reserve_down_uc_MWh,E_net_SOE_MWh,EENS_cost,E_SOE_T_MWh,E_storage_net_charge_MWh,E_thermal_reserve_down_activation_MWh,slack_reserve_down_uc_MWh,E_nonRES_nonThermal_production_MWh,CURE,ELGEN,EOPEX,slack_reserve_up_cost_uc,E_storage_reserve_down_activation_MWh,OV_uc,E_fixed_cost,thermal_reserve_up_uc_MWh,storage_reserve_up_uc_MWh,LOLE,E_storage_reserve_up_activation_MWh,EENS,reserve_down_uc_MWh,E_input_load_MWh,OPEX_uc,mu,non-conservative
envelope,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,5716.905919267239,12683.7,31886.427205792294,566781.5737885516,15674.750637312145,,-118666.16168185347,4.826606707700257e-11,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,572498.479707819,,,16714.638879350496,1.8095691987166218e-09,5716.905919267239,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,7831.948334141258,2977.700646372765,7.887142781380135,9145.6918235139,-5716.905919267212,8.26300708109975e-11,6966.794080732789,-4854.247687768493,5292.94235073678,7.238276794866484e-12,,0.0,1.6088689025667523e-12,566781.5737885516,1.8095691987045044e-09,7.887142735726911,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,5292.942351475765,8.26300708109975e-15,15674.762004823695,43036.2748911,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,9463.898426429787,12683.7,28336.843648415103,494264.97723143455,15674.750637312145,,-191182.75823919591,2.5626325539296727e-09,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,503728.87565786956,,,16714.638879350496,3.096934165148743e-08,9463.898426429787,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,11385.320605325052,2981.489360179288,0.0,8349.747125041195,-9463.898426428683,2.655625007834e-09,3219.8015735713175,-8403.831245145764,8834.638765349431,1.238773666059497e-10,,0.0,8.542108513098909e-11,494264.97723143455,3.096934165596165e-08,0.0,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,8834.638766153856,2.655625007834e-13,15675.290447426776,43036.2748911,685447.7354706305,1.0,1
envelope,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,7151.908735095084,12683.7,28665.110710806428,496170.65599920123,20866.18789651167,,-154126.47291909542,1.6098765811352755e-08,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,503322.56473433966,,,22565.751669768717,1.6093374065574836e-08,7151.908735095084,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,10439.84906223155,4440.773729807401,0.0,7776.985022029659,-7151.908735087156,2.723900588671116e-08,5531.791264912845,-5999.075332424149,7004.84910041256,6.437349626229934e-11,,0.0,5.366255270450918e-10,496170.65599920123,1.60933738707768e-08,0.0,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,7004.84910070765,2.723900588671116e-12,20866.298182191415,41727.3860423,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,11306.024441518699,12683.7,24664.568969920063,419457.70971622394,20866.18789651167,,-231269.96600146685,1.0842842966443148e-11,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,440843.20174173266,,,22565.751669768717,5.361308353837571e-09,11306.024441518699,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,13645.343109448697,3645.726036139926,0.0,8614.895199497108,-11306.024441519989,1.1236304007639727e-11,1377.675558480013,-9999.617073308771,10600.499356265616,2.1445233415350284e-11,,0.0,3.6142809888143827e-13,429537.17730021395,5.3613082176921465e-09,0.0,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,10600.499356558286,1.1236304007639727e-15,20867.44231838718,41727.3860423,660807.1433016808,1.0,1
envelope,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,5716.905919266331,12683.7,31886.42720581873,566781.5737896799,15674.750637312145,,-118666.16168072517,6.649214229254779e-08,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,623950.6329825235,,,16714.638879350496,1.8095691987166218e-09,57169.0591926633,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,7831.948334274184,2977.7006465299455,7.8871427917156325,9145.6918235139,-5716.905919262545,1.1383171446537239e-07,6966.794080737456,-4854.247687744239,5292.942350720664,7.238276794866484e-12,,0.0,2.216404743084926e-09,566781.5737896799,1.8095691987045044e-09,7.8871427459689585,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,5292.942351461751,1.1383171446537238e-11,15674.762004823695,43036.2748911,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,9370.429498749078,12683.7,28420.843648414113,494938.86428541923,15674.750637312145,,-190508.87118521123,1.86915007608086e-10,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,588643.1592729103,,,16714.638879350496,3.096934165148743e-08,93704.29498749076,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,11313.320605289318,2993.4893601426984,0.0,8349.747125041195,-9370.429498749072,1.7462550549507295e-10,3313.2705012509296,-8319.831245146619,8750.638765350366,1.238773666059497e-10,,0.0,6.230500253602866e-12,494938.86428541923,3.096934165596165e-08,0.0,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,8750.63876615472,1.7462550549507295e-14,15675.290447426776,43036.2748911,685447.7354706305,1.0,1
envelope,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,7151.908735087418,12683.7,28665.110710807297,496170.65599854506,20866.18789651167,,-154126.4729197516,1.679844210932445e-08,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,567689.7433494645,,,22565.751669768717,1.6093374065574836e-08,71519.0873508742,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,10439.849062233396,4440.773729810131,0.0,7776.985022029659,-7151.908735086592,2.8425295274996353e-08,5531.791264913409,-5999.075332423265,7004.849100411653,6.437349626229934e-11,,0.0,5.59948070310815e-10,496170.65599854506,1.60933738707768e-08,0.0,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,7004.849100706769,2.8425295274996353e-12,20866.298182191415,41727.3860423,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,11202.132148166202,12683.7,24760.56896992006,420227.86635462305,20866.18789651167,,-230499.80936306773,4.613033953611586e-12,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,542328.655420275,,,22565.751669768717,5.361308353837571e-09,112021.321481662,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,13589.343109449477,3685.7260361395056,0.0,8614.895199497108,-11202.132148166194,6.288570338458344e-12,1481.5678518338054,-9903.617073309972,10504.49935626562,2.1445233415350284e-11,,0.0,1.5376779845371954e-13,430307.33393861307,5.3613082176921465e-09,0.0,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,10504.499356559489,6.288570338458344e-16,20867.44231838718,41727.3860423,660807.1433016808,1.0,1
envelope,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,1.7425560453966938e-13,12683.7,37171.48241457795,685447.7354883209,15674.750637312145,,1.791585236787796e-05,4.748362619602153e-12,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,685447.735488321,,,16714.638879350496,1.8095691987166218e-09,1.7425560453966938e-10,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,3356.1224490616205,3786.929970078781,108.86375378933462,9145.6918235139,-1.8189894035458565e-12,7.564527175488855e-12,12683.699999999999,430.8075210171605,108.86375295908283,7.238276794866484e-12,,0.0,1.5827875398673842e-13,685447.7354883209,1.8095691987045044e-09,108.8637532767033,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,108.86375323108234,7.564527175488855e-16,15674.762004823695,43036.2748911,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,1.2113542563381493e-09,12683.7,37171.482414655424,685447.7354896119,15674.750637312145,,1.8981401808559895e-05,9.403573728973889e-08,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,685447.7354910825,,,16714.638879350496,3.096934165148743e-08,1.2113542563381491e-06,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,3356.1224495979627,3786.929970689468,117.15671181562834,8349.747125041195,-2.4374458007514477e-10,1.6534431743432847e-07,12683.699999999757,430.80752109150535,117.15671092475827,1.238773666059497e-10,,0.0,3.1345245763246303e-09,685447.7354896119,3.096934165596165e-08,117.15671209981394,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,117.15671201640778,1.6534431743432846e-11,15675.290447426776,43036.274891099994,685447.7354706305,1.0,1
