index,model_type,solution_id,configuration,day,iteration,LLD_h,ENS_MWh,input_load_MWh,CURD_h,CUR_MWh,input_RES_production_MWh,thermal_production_MWh,nonRES_nonThermal_production_MWh,storage_charge_MWh,storage_discharge_MWh,storage_net_charge_MWh,SOE_T_MWh,SOE_0_MWh,net_SOE_MWh,LGEN_MWh,slack_SOE_final_MWh,production_cost,fixed_cost,start_cost,LOL_cost,LGEN_cost,slack_SOE_final_cost,OPEX,objective_value,production_cost_uc,fixed_cost_uc,start_cost_uc,reserve_cost_uc,slack_reserve_up_cost_uc,slack_reserve_down_cost_uc,OPEX_uc,objective_value_uc,redispatch_cost,mu,avg_marginal_energy_price_MU_MWh,avg_marginal_energy_price_uc_MU_MWh,avg_marginal_reserve_up_price_uc_MU_MWh,avg_marginal_reserve_down_price_uc_MU_MWh,input_load_uc_MWh,reserve_up_uc_MWh,slack_reserve_up_uc_MWh,reserve_down_uc_MWh,required_reserve_up_uc_MWh,required_reserve_down_uc_MWh,slack_reserve_down_uc_MWh,thermal_reserve_up_uc_MWh,thermal_reserve_down_uc_MWh,storage_reserve_up_uc_MWh,storage_reserve_down_uc_MWh,thermal_reserve_up_activation_MWh,thermal_reserve_down_activation_MWh,storage_reserve_up_activation_MWh,storage_reserve_down_activation_MWh
0,conservative,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_1_dn_1,2,demand_1,0,2.655625007834e-13,43036.2748911,0,7.638334409421077e-14,6295.599997539259,28336.843648415103,,2981.489360179288,11385.320605325052,-8403.831245145764,3219.8015735713175,12683.7,-9463.898426428683,8.542108513098909e-11,9463.898426429787,494264.97723143455,0.0,0.0,2.655625007834e-09,2.5626325539296727e-09,9463.898426429787,494264.97723143455,503728.87565786956,685447.7354706305,0.0,0.0,0.032390138912238124,3.096934165596165e-08,3.096934165148743e-08,685447.7354706305,685447.7678608313,-191182.75823919591,1.0,,,,,43036.27489031638,16714.848464811414,1.2387736662384657e-10,15675.290447426776,16714.638879350496,15674.750637312145,1.238773666059497e-10,5319.604140852195,8349.747125041195,11395.244323959207,7325.543322385587,0.0,8834.638765349431,8834.638766153856,0.0
1,envelope,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,demand_1,0,8.26300708109975e-15,43036.2748911,0,7.638334409421077e-14,6295.599997539259,31886.427205792294,,2977.700646372765,7831.948334141258,-4854.247687768493,6966.794080732789,12683.7,-5716.905919267212,1.6088689025667523e-12,5716.905919267239,566781.5737885516,0.0,0.0,8.26300708109975e-11,4.826606707700257e-11,5716.905919267239,566781.5737885516,572498.479707819,685447.7354704051,0.0,0.0,0.032389402808719985,1.8095691987045044e-09,1.8095691987166218e-09,685447.7354704051,685447.7678598115,-118666.16168185347,0.5,,,,,43036.27489031638,16714.64080389627,7.238276794818017e-12,15674.762004823695,16714.638879350496,15674.750637312145,7.238276794866484e-12,3183.6607457212867,9145.6918235139,13530.980058174982,6529.070181309831,7.887142781380135,5292.94235073678,5292.942351475765,7.887142735726911
2,conservative,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_1_dn_1,3,demand_1,0,1.1236304007639727e-15,41727.3860423,0,-6.572520305780927e-14,7063.199999070024,24664.568969920063,,3645.726036139926,13645.343109448697,-9999.617073308771,1377.675558480013,12683.7,-11306.024441519989,3.6142809888143827e-13,11306.024441518699,419457.70971622394,0.0,10079.46758399,1.1236304007639727e-11,1.0842842966443148e-11,11306.024441518699,429537.17730021395,440843.20174173266,650727.6757176908,0.0,10079.46758399,0.043433258822214674,5.3613082176921465e-09,5.361308353837571e-09,660807.1433016808,660807.1867349503,-231269.96600146685,1.0,,,,,41727.38604199865,22565.816503827482,2.1445232870768586e-11,20867.44231838718,22565.751669768717,20866.18789651167,2.1445233415350284e-11,10511.731689722496,8614.895199497108,12054.084814105001,12252.547118890103,0.0,10600.499356265616,10600.499356558286,0.0
3,envelope,RTS-GMLC_v16.0.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,demand_1,0,2.723900588671116e-12,41727.3860423,0,-6.572520305780927e-14,7063.199999070024,28665.110710806428,,4440.773729807401,10439.84906223155,-5999.075332424149,5531.791264912845,12683.7,-7151.908735087156,5.366255270450918e-10,7151.908735095084,496170.65599920123,0.0,0.0,2.723900588671116e-08,1.6098765811352755e-08,7151.908735095084,496170.65599920123,503322.56473433966,650297.1289182967,0.0,0.0,0.04343209118917747,1.60933738707768e-08,1.6093374065574836e-08,650297.1289182967,650297.17235042,-154126.47291909542,0.5,,,,,41727.38604199865,22565.79300698599,6.43734954831072e-11,20866.298182191415,22565.751669768717,20866.18789651167,6.437349626229934e-11,4712.893906205969,7776.985022029659,17852.89910078003,13089.313160161782,0.0,7004.84910041256,7004.84910070765,0.0
0,conservative,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_1_dn_1,2,demand_1,0,1.7462550549507295e-14,43036.2748911,0,7.638334409421077e-14,6295.599997539259,28420.843648414113,,2993.4893601426984,11313.320605289318,-8319.831245146619,3313.2705012509296,12683.7,-9370.429498749072,6.230500253602866e-12,9370.429498749078,494938.86428541923,0.0,0.0,1.7462550549507295e-10,1.86915007608086e-10,93704.29498749076,494938.86428541923,588643.1592729103,685447.7354706305,0.0,0.0,0.032390138912238124,3.096934165596165e-08,3.096934165148743e-08,685447.7354706305,685447.7678608313,-190508.87118521123,1.0,,,,,43036.27489031638,16714.848464811414,1.2387736662384657e-10,15675.290447426776,16714.638879350496,15674.750637312145,1.238773666059497e-10,5319.604140852195,8349.747125041195,11395.244323959207,7325.543322385587,0.0,8750.638765350366,8750.63876615472,0.0
1,envelope,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,demand_1,0,1.1383171446537238e-11,43036.2748911,0,7.638334409421077e-14,6295.599997539259,31886.42720581873,,2977.7006465299455,7831.948334274184,-4854.247687744239,6966.794080737456,12683.7,-5716.905919262545,2.216404743084926e-09,5716.905919266331,566781.5737896799,0.0,0.0,1.1383171446537239e-07,6.649214229254779e-08,57169.0591926633,566781.5737896799,623950.6329825235,685447.7354704051,0.0,0.0,0.032389402808719985,1.8095691987045044e-09,1.8095691987166218e-09,685447.7354704051,685447.7678598115,-118666.16168072517,0.5,,,,,43036.27489031638,16714.64080389627,7.238276794818017e-12,15674.762004823695,16714.638879350496,15674.750637312145,7.238276794866484e-12,3183.6607457212867,9145.6918235139,13530.980058174982,6529.070181309831,7.8871427917156325,5292.942350720664,5292.942351461751,7.8871427459689585
2,conservative,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_1_dn_1,3,demand_1,0,6.288570338458344e-16,41727.3860423,0,-6.572520305780927e-14,7063.199999070024,24760.56896992006,,3685.7260361395056,13589.343109449477,-9903.617073309972,1481.5678518338054,12683.7,-11202.132148166194,1.5376779845371954e-13,11202.132148166202,420227.86635462305,0.0,10079.46758399,6.288570338458344e-12,4.613033953611586e-12,112021.321481662,430307.33393861307,542328.655420275,650727.6757176908,0.0,10079.46758399,0.043433258822214674,5.3613082176921465e-09,5.361308353837571e-09,660807.1433016808,660807.1867349503,-230499.80936306773,1.0,,,,,41727.38604199865,22565.816503827482,2.1445232870768586e-11,20867.44231838718,22565.751669768717,20866.18789651167,2.1445233415350284e-11,10511.731689722496,8614.895199497108,12054.084814105001,12252.547118890103,0.0,10504.49935626562,10504.499356559489,0.0
3,envelope,RTS-GMLC_v16.0.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,demand_1,0,2.8425295274996353e-12,41727.3860423,0,-6.572520305780927e-14,7063.199999070024,28665.110710807297,,4440.773729810131,10439.849062233396,-5999.075332423265,5531.791264913409,12683.7,-7151.908735086592,5.59948070310815e-10,7151.908735087418,496170.65599854506,0.0,0.0,2.8425295274996353e-08,1.679844210932445e-08,71519.0873508742,496170.65599854506,567689.7433494645,650297.1289182967,0.0,0.0,0.04343209118917747,1.60933738707768e-08,1.6093374065574836e-08,650297.1289182967,650297.17235042,-154126.4729197516,0.5,,,,,41727.38604199865,22565.79300698599,6.43734954831072e-11,20866.298182191415,22565.751669768717,20866.18789651167,6.437349626229934e-11,4712.893906205969,7776.985022029659,17852.89910078003,13089.313160161782,0.0,7004.849100411653,7004.849100706769,0.0
0,conservative,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_1_dn_1,2,demand_1,0,1.6534431743432846e-11,43036.274891099994,0,7.638334409421077e-14,6295.599997539259,37171.482414655424,,3786.929970689468,3356.1224495979627,430.80752109150535,12683.699999999757,12683.7,-2.4374458007514477e-10,3.1345245763246303e-09,1.2113542563381493e-09,685447.7354896119,0.0,0.0,1.6534431743432847e-07,9.403573728973889e-08,1.2113542563381491e-06,685447.7354896119,685447.7354910825,685447.7354706305,0.0,0.0,0.032390138912238124,3.096934165596165e-08,3.096934165148743e-08,685447.7354706305,685447.7678608313,1.8981401808559895e-05,1.0,,,,,43036.27489031638,16714.848464811414,1.2387736662384657e-10,15675.290447426776,16714.638879350496,15674.750637312145,1.238773666059497e-10,5319.604140852195,8349.747125041195,11395.244323959207,7325.543322385587,117.15671181562834,117.15671092475827,117.15671201640778,117.15671209981394
1,envelope,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,demand_1,0,7.564527175488855e-16,43036.2748911,0,7.638334409421077e-14,6295.599997539259,37171.48241457795,,3786.929970078781,3356.1224490616205,430.8075210171605,12683.699999999999,12683.7,-1.8189894035458565e-12,1.5827875398673842e-13,1.7425560453966938e-13,685447.7354883209,0.0,0.0,7.564527175488855e-12,4.748362619602153e-12,1.7425560453966938e-10,685447.7354883209,685447.735488321,685447.7354704051,0.0,0.0,0.032389402808719985,1.8095691987045044e-09,1.8095691987166218e-09,685447.7354704051,685447.7678598115,1.791585236787796e-05,0.5,,,,,43036.27489031638,16714.64080389627,7.238276794818017e-12,15674.762004823695,16714.638879350496,15674.750637312145,7.238276794866484e-12,3183.6607457212867,9145.6918235139,13530.980058174982,6529.070181309831,108.86375378933462,108.86375295908283,108.86375323108234,108.8637532767033
