configuration,day,LOLE,EENS,CURE,ECUR,EOV,EΔOV,objective_value_uc,EOPEX,EOPEX_uc,ELGEN,mu
base_ramp_storage_envelopes_up_0_dn_0,1,1.3,166.03745859912095,0.0,5.919709167301335e-13,2.4860715036432566e6,1.6603630622841308e6,825708.4413591236,825696.9070340462,825708.4307411254,244.56895658551127,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,0.0,0.0,0.0,7.256417688950023e-13,825603.5518452455,-104.88951387940324,825708.4413591236,825603.5412272454,825708.4307411254,1289.5822547631253,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,0.0,0.0,0.0,7.256417688950023e-13,827739.1396399137,-217.40477356583114,827956.5444134783,827739.1290219135,827956.5337954775,2447.5650839386335,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,0.0,0.0,0.0,7.256417688950023e-13,830205.6442265144,-340.04582263822317,830545.6900491521,830205.6336085137,830545.6794311538,3629.094096801826,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,1,0.0,0.0,0.0,7.256417688950023e-13,832961.6790100079,-453.87362622553485,833415.5526362344,832961.6683920074,833415.5420182336,4782.950978154796,0.8
base_ramp_storage_envelopes_up_1_dn_1,1,0.0,0.0,0.0,7.256417688950023e-13,836189.6456449659,-549.026501497631,836738.6721464637,836189.6350269653,836738.6615284624,5803.932275076675,1.0
base_ramp_storage_envelopes_up_0_dn_0,2,2.32,280.1751000630895,0.0,1.5498713423767185e-13,3.749969262943784e6,2.801756558754557e6,948212.7041892261,948218.2511574883,948212.6930338253,195.31163139501797,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,0.06,6.5204682346074785,0.0,1.9229062786507711e-13,1.013354069903603e6,65141.36571437601,948212.7041892261,948149.376402127,948212.6930338253,1157.7760374410673,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,0.0,0.0,0.0,1.9229062786507711e-13,948026.588412303,-186.11577692398802,948212.7041892261,948026.5772569021,948212.6930338253,2392.287957927593,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,0.0,0.0,0.0,1.9229062786507711e-13,947898.5708236338,-314.1333655933174,948212.7041892264,947898.5596682332,948212.6930338253,3672.4638446202966,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,2,0.0,0.0,0.0,1.9229062786507711e-13,948021.4300523051,-419.40962717570716,948440.8396794797,948021.4188969039,948440.8285240815,4782.244424229082,0.8
base_ramp_storage_envelopes_up_1_dn_1,2,0.0,0.0,0.0,1.9229062786507711e-13,953157.7986029702,-541.4974166268995,953699.2960195985,953157.787447569,953699.2848641973,5744.804155381983,1.0
base_ramp_storage_envelopes_up_0_dn_0,3,1.82,242.3122197630099,0.0,-5.263567359747867e-13,3.388464061987603e6,2.42312625717616e6,965337.8048114438,965341.8530445023,965337.7934984417,224.76705545535307,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,0.18,19.592455983258855,0.0,-7.926992395823618e-13,1.1611842813184392e6,195846.4765069961,965337.8048114438,965259.71017285,965337.7934984417,1253.1196434104997,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,0.0,0.0,0.0,-7.926992395823618e-13,965140.2509363838,-197.55387505915016,965337.8048114438,965140.2396233833,965337.7934984417,2481.293051157127,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,0.0,0.0,0.0,-7.926992395823618e-13,965014.9737244378,-322.8310870054597,965337.8048114438,965014.9624114366,965337.7934984417,3718.269278271465,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,3,0.0,0.0,0.0,-7.926992395823618e-13,965425.8595365764,-441.10123915503385,965866.9607757326,965425.8482235752,965866.9494627279,4904.648069210392,0.8
base_ramp_storage_envelopes_up_1_dn_1,3,0.0,0.0,0.0,-7.926992395823618e-13,972052.4931730031,-518.0166906074551,972570.5098636108,972052.4818600006,972570.4985506086,5555.383795012383,1.0
base_ramp_storage_envelopes_up_0_dn_0,4,2.03,271.4852362523363,0.0,3.030353745714365e-13,3.6962103775063236e6,2.714846772780075e6,981363.6047262502,981358.0036239596,981363.5933672484,254.4358595099658,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,0.05,3.6542913571487956,0.0,4.957700916463637e-13,1.017831573460359e6,36467.968734110174,981363.6047262502,981288.6485298696,981363.5933672484,1226.960387378265,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,0.0,0.0,0.0,4.957700916463637e-13,981159.4728348802,-204.1318913684576,981363.6047262502,981159.4614758788,981363.5933672484,2520.9328074512537,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,0.0,0.0,0.0,4.957700916463637e-13,981032.6893513905,-330.91537485796493,981363.6047262502,981032.6779923898,981363.5933672484,3775.644202730931,0.6
