configuration,day,r_id,mu,SOE_MWh,SOC
base_ramp_storage_envelopes_up_0_dn_0,1,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,103,0.0,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,104,0.0,799.4499999999986,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,105,0.0,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,106,0.0,703.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,107,0.0,633.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,1,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,103,0.0,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,104,0.0,799.4499999999986,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,105,0.0,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,106,0.0,703.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,107,0.0,633.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,2,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,103,0.0,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,104,0.0,799.4499999999986,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,105,0.0,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,106,0.0,703.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,107,0.0,633.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,3,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,103,0.0,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,104,0.0,799.4499999999986,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,105,0.0,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,106,0.0,703.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,107,0.0,633.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,4,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,103,0.0,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,104,0.0,799.4499999999986,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,105,0.0,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,106,0.0,703.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,107,0.0,633.5,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,5,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_dn_0,6,101,0.0,435.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,6,102,0.0,645.6999999999988,0.5
base_ramp_storage_envelopes_up_0_dn_0,6,103,0.0,405.9499999999999,0.5
