ρ,day,hour,iteration,imbalance_MW,imbalance_up_MW,imbalance_down_MW
0.0,7,145,demand,0.0,0.0,-0.0
0.0,7,146,demand,0.0,0.0,-0.0
0.0,7,147,demand,0.0,0.0,-0.0
0.0,7,148,demand,0.0,0.0,-0.0
0.0,7,149,demand,0.0,0.0,-0.0
0.0,7,150,demand,0.0,0.0,-0.0
0.0,7,151,demand,0.0,0.0,-0.0
0.0,7,152,demand,0.0,0.0,-0.0
0.0,7,153,demand,0.0,0.0,-0.0
0.0,7,154,demand,0.0,0.0,-0.0
0.0,7,155,demand,0.0,0.0,-0.0
0.0,7,156,demand,0.0,0.0,-0.0
0.0,7,157,demand,0.0,0.0,-0.0
0.0,7,158,demand,0.0,0.0,-0.0
0.0,7,159,demand,0.0,0.0,-0.0
0.0,7,160,demand,0.0,0.0,-0.0
0.0,7,161,demand,0.0,0.0,-0.0
0.0,7,162,demand,0.0,0.0,-0.0
0.0,7,163,demand,0.0,0.0,-0.0
0.0,7,164,demand,0.0,0.0,-0.0
0.0,7,165,demand,0.0,0.0,-0.0
0.0,7,166,demand,0.0,0.0,-0.0
0.0,7,167,demand,0.0,0.0,-0.0
0.0,7,168,demand,0.0,0.0,-0.0
0.1,7,145,demand,0.0,0.0,-0.0
0.1,7,146,demand,0.0,0.0,-0.0
0.1,7,147,demand,0.0,0.0,-0.0
0.1,7,148,demand,0.0,0.0,-0.0
0.1,7,149,demand,0.0,0.0,-0.0
0.1,7,150,demand,0.0,0.0,-0.0
0.1,7,151,demand,0.0,0.0,-0.0
0.1,7,152,demand,0.0,0.0,-0.0
0.1,7,153,demand,0.0,0.0,-0.0
0.1,7,154,demand,0.0,0.0,-0.0
0.1,7,155,demand,0.0,0.0,-0.0
0.1,7,156,demand,0.0,0.0,-0.0
0.1,7,157,demand,0.0,0.0,-0.0
0.1,7,158,demand,0.0,0.0,-0.0
0.1,7,159,demand,0.0,0.0,-0.0
0.1,7,160,demand,0.0,0.0,-0.0
0.1,7,161,demand,0.0,0.0,-0.0
0.1,7,162,demand,0.0,0.0,-0.0
0.1,7,163,demand,0.0,0.0,-0.0
0.1,7,164,demand,0.0,0.0,-0.0
0.1,7,165,demand,0.0,0.0,-0.0
0.1,7,166,demand,0.0,0.0,-0.0
0.1,7,167,demand,0.0,0.0,-0.0
0.1,7,168,demand,0.0,0.0,-0.0
0.2,7,145,demand,0.0,0.0,-0.0
0.2,7,146,demand,0.0,0.0,-0.0
0.2,7,147,demand,0.0,0.0,-0.0
0.2,7,148,demand,0.0,0.0,-0.0
0.2,7,149,demand,0.0,0.0,-0.0
0.2,7,150,demand,0.0,0.0,-0.0
0.2,7,151,demand,0.0,0.0,-0.0
0.2,7,152,demand,0.0,0.0,-0.0
0.2,7,153,demand,0.0,0.0,-0.0
0.2,7,154,demand,0.0,0.0,-0.0
0.2,7,155,demand,0.0,0.0,-0.0
0.2,7,156,demand,0.0,0.0,-0.0
0.2,7,157,demand,0.0,0.0,-0.0
0.2,7,158,demand,0.0,0.0,-0.0
0.2,7,159,demand,0.0,0.0,-0.0
0.2,7,160,demand,0.0,0.0,-0.0
0.2,7,161,demand,0.0,0.0,-0.0
0.2,7,162,demand,0.0,0.0,-0.0
0.2,7,163,demand,0.0,0.0,-0.0
0.2,7,164,demand,0.0,0.0,-0.0
0.2,7,165,demand,0.0,0.0,-0.0
0.2,7,166,demand,0.0,0.0,-0.0
0.2,7,167,demand,0.0,0.0,-0.0
0.2,7,168,demand,0.0,0.0,-0.0
0.3,7,145,demand,0.0,0.0,-0.0
0.3,7,146,demand,0.0,0.0,-0.0
0.3,7,147,demand,0.0,0.0,-0.0
0.3,7,148,demand,0.0,0.0,-0.0
0.3,7,149,demand,0.0,0.0,-0.0
0.3,7,150,demand,0.0,0.0,-0.0
